Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar
Grækenland og Rom,Hvilken græsk gudinde forbindes med visdom og byen Athen?,100,Athene,Hera,Artemis,Demeter,,,
Grækenland og Rom,Hvilken græsk gud regerer over dødsriget?,200,Hades,Zeus,Ares,Dionysos,,,
Grækenland og Rom,Hvilken græsk gudinde forbindes med kærlighed og skønhed?,300,Afrodite,Hestia,Hera,Persefone,,,
Egyptens gudeverden,Hvilken egyptisk gud forbindes med de døde og genopstandelse?,100,Osiris,Horus,Seth,Khnum,,,
Egyptens gudeverden,Hvilken gudinde er Osiris’ hustru og Horus’ mor?,200,Isis,Hathor,Nephthys,Nut,,,
Egyptens gudeverden,Hvilken falkehovedet gud forbindes med kongemagt?,300,Horus,Anubis,Sobek,Thoth,,,
Mesopotamien og Nærorienten,"Hvad hedder kongen af Uruk i det mesopotamiske heltedigt, der bærer hans navn?",100,Gilgamesh,Enkidu,Utnapishtim,Humbaba,,,
Mesopotamien og Nærorienten,Hvilken gud blev Babylons vigtigste bygud?,200,Marduk,Ashur,Enlil,Dumuzi,,,
Myter fra andre kulturer,Hvilken shinto-gudinde forbindes med solen i japansk mytologi?,100,Amaterasu,Izanami,Benzaiten,Inari,,,
Myter fra andre kulturer,Hvilken aztekisk gud kaldes den fjerklædte slange?,200,Quetzalcoatl,Tlaloc,Tezcatlipoca,Huitzilopochtli,,,
