Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar
Ord og vendinger,Hvad betyder det engelske ord eller udtryk ‘pharmacy’?,100,apotek,bibliotek,bageri,domhus,,,
Ord og vendinger,Hvad betyder det engelske ord eller udtryk ‘courthouse’?,200,domhus,bibliotek,bageri,apotek,,,
Ord og vendinger,Hvad betyder det engelske ord eller udtryk ‘drizzle’?,300,finregn,torden,brise,hagl,,,
Grammatik og udtale,Hvad er den korrekte flertalsform af “child”?,100,children,childs,childes,childrens,,,
Grammatik og udtale,Hvad er datidsformen af “go”?,200,went,goed,gone,going,,,
Grammatik og udtale,Hvad er perfektum participium af “write”?,300,written,wrote,writed,writing,,,
Litteratur og kultur,Hvem skrev værket “Pride and Prejudice”?,100,Jane Austen,William Shakespeare,Charles Dickens,George Orwell,,,
Litteratur og kultur,Hvem skrev værket “Great Expectations”?,200,Charles Dickens,William Shakespeare,Jane Austen,George Orwell,,,
Den engelsktalende verden,Hvad er hovedstaden i Irland?,100,Dublin,London,Ottawa,Wellington,,,
Den engelsktalende verden,Hvad er hovedstaden i Canada?,200,Ottawa,London,Dublin,Wellington,,,
