Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar
Lande og hovedstæder,Hvilket land har Bratislava som hovedstad?,100,Slovakiet,Bosnien-Hercegovina,Belarus,Sverige,,,
Lande og hovedstæder,Hvad er hovedstaden i Ungarn?,200,Budapest,Sarajevo,Kyiv,Tbilisi,,,
Lande og hovedstæder,Hvilket land har Ljubljana som hovedstad?,300,Slovenien,Montenegro,Schweiz,Island,,,
Lande og hovedstæder,Hvad er hovedstaden i Kroatien?,400,Zagreb,Podgorica,Amsterdam,Oslo,,,
Lande og hovedstæder,Hvilket land har Sarajevo som hovedstad?,500,Bosnien-Hercegovina,Nordmakedonien,Andorra,Letland,,,
Lande og hovedstæder,Hvad er hovedstaden i Serbien?,600,Beograd,Skopje,Vaduz,Helsinki,,,
Lande og hovedstæder,Hvilket land har Podgorica som hovedstad?,700,Montenegro,Rumænien,San Marino,Tyskland,,,
Lande og hovedstæder,Hvad er hovedstaden i Albanien?,800,Tirana,Bukarest,Monaco,Tallinn,,,
Kortet og naturen,Hvilken europæisk hovedstad gennemstrømmes af Donau og består historisk af Buda og Pest?,100,Budapest,Bratislava,Beograd,Bukarest,,,
Kortet og naturen,Hvilken europæisk hovedstad ligger ved Tejo-flodens udmunding?,200,Lissabon,Madrid,Valletta,Athen,,,
Kortet og naturen,"Hvilken europæisk hovedstad ligger ved Moldau, som på tjekkisk hedder Vltava?",300,Prag,Warszawa,Sofia,Zagreb,,,
Kortet og naturen,Hvilken nordisk hovedstad ligger på øerne Sjælland og Amager?,400,København,Stockholm,Oslo,Helsinki,,,
Kortet og naturen,Hvilken hovedstad ligger længst mod nord blandt de fem nordiske landes hovedstæder?,500,Reykjavík,Oslo,Helsinki,Stockholm,,,
Kortet og naturen,Hvilken europæisk hovedstad ligger ved floden Liffey?,600,Dublin,London,Edinburgh,Cardiff,,,
Kortet og naturen,Hvilken europæisk hovedstad ligger på begge sider af floden Daugava?,700,Riga,Tallinn,Vilnius,Minsk,,,
Kortet og naturen,Hvilken europæisk hovedstad ligger ved floden Tiber?,800,Rom,Athen,Madrid,Sofia,,,
Kendte steder,I hvilken hovedstad ligger fæstningen Suomenlinna ud for kysten?,100,Helsinki,Tallinn,Stockholm,Oslo,,,
Kendte steder,I hvilken hovedstad står Frihedsmonumentet på en central boulevard?,200,Riga,Vilnius,Tallinn,Sofia,,,
Kendte steder,I hvilken hovedstad ligger Katedralpladsen med Gediminas-tårnet i nærheden?,300,Vilnius,Riga,Tallinn,Warszawa,,,
Kendte steder,I hvilken hovedstad ligger den gamle bydel på Toompea-højen?,400,Tallinn,Riga,Vilnius,Helsinki,,,
Kendte steder,I hvilken hovedstad ligger Skanderbeg-pladsen?,500,Tirana,Skopje,Podgorica,Sofia,,,
Kendte steder,I hvilken hovedstad ligger Alexander Nevskij-katedralen?,600,Sofia,Bukarest,Beograd,Chișinău,,,
Kendte steder,I hvilken hovedstad ligger Trevi-fontænen?,700,Rom,Athen,Paris,Madrid,,,
Historie og institutioner,Hvilken hovedstad var værtsby for sommer-OL i 2012?,100,London,Paris,Berlin,Madrid,,,
Historie og institutioner,Hvilken hovedstad blev udpeget som Europas første grønne hovedstad i 2010?,200,Stockholm,Oslo,København,Helsinki,,,
Historie og institutioner,"I hvilken hovedstad ligger Folketinget, hvor også medlemmer valgt på Færøerne og i Grønland har sæde?",300,København,Tórshavn,Nuuk,Reykjavík,,,
Historie og institutioner,Hvilken hovedstad er sæde for Nordisk Råds sekretariat?,400,København,Stockholm,Oslo,Helsinki,,,
Historie og institutioner,"Hvilken hovedstad er kendt som den eneste nationale hovedstad, der grænser direkte op til to andre lande?",500,Bratislava,Wien,Budapest,Ljubljana,,,
Historie og institutioner,Hvilken hovedstad var europæisk kulturhovedstad i 1996?,600,København,Oslo,Stockholm,Helsinki,,,
Historie og institutioner,"Hvilken hovedstad har navnet, der på islandsk betyder omtrent “røgvig”?",700,Reykjavík,Oslo,Helsinki,Dublin,,,
