Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar
Lande og hovedstæder,Hvilket land har Tallinn som hovedstad?,100,Estland,Frankrig,Østrig,Moldova,,,
Lande og hovedstæder,Hvad er hovedstaden i Letland?,200,Riga,Paris,Luxembourg,Skopje,,,
Lande og hovedstæder,Hvilket land har Vilnius som hovedstad?,300,Litauen,Portugal,Tjekkiet,Belarus,,,
Lande og hovedstæder,Hvad er hovedstaden i Tyskland?,400,Berlin,Lissabon,Warszawa,Bukarest,,,
Kortet og naturen,Hvilket land har Kyiv som hovedstad?,100,Ukraine,Liechtenstein,Danmark,Irland,,,
Kortet og naturen,Hvad er hovedstaden i Belarus?,200,Minsk,Vaduz,Tbilisi,Lissabon,,,
Kortet og naturen,Hvilket land har Amsterdam som hovedstad?,300,Nederlandene,Monaco,Sverige,Belgien,,,
Kortet og naturen,Hvad er hovedstaden i Schweiz?,400,Bern,Monaco,Oslo,Athen,,,
Kendte steder,I hvilken hovedstad står Brandenburger Tor?,100,Berlin,Wien,Prag,Warszawa,,,
Kendte steder,I hvilken hovedstad ligger Buckingham Palace?,200,London,Dublin,Bruxelles,Amsterdam,,,
Kendte steder,I hvilken hovedstad ligger det kongelige palads Palacio Real?,300,Madrid,Lissabon,Rom,Paris,,,
Kendte steder,I hvilken hovedstad ligger Tivoli og Den Lille Havfrue?,400,København,Oslo,Stockholm,Helsinki,,,
Historie og institutioner,Hvilken hovedstad blev samlet som Tysklands hovedstad igen efter genforeningen i 1990?,100,Berlin,Bonn,Frankfurt,München,,,
Historie og institutioner,Hvilken hovedstad var delt af en mur fra 1961 til 1989?,200,Berlin,Wien,Prag,Warszawa,,,
Historie og institutioner,"Hvilken hovedstad blev tidligere kaldt Konstantinopel, men er ikke Tyrkiets nuværende hovedstad?",300,Istanbul,Ankara,Izmir,Bursa,,,
