Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar
Grundlov og Folketing,Hvor mange medlemmer har Folketinget?,100,179,175,181,200,,,
Grundlov og Folketing,Hvor mange folketingsmedlemmer vælges i Danmark uden Grønland og Færøerne?,200,175,179,171,150,,,
Grundlov og Folketing,Hvor mange medlemmer vælges til Folketinget fra Grønland?,300,2,1,3,4,,,
Valg og partier,Hvad er den almindelige spærregrænse for et parti ved folketingsvalg?,100,2 procent,1 procent,4 procent,5 procent,,,
Valg og partier,Hvor mange kredsmandater fordeles i Danmark ved et folketingsvalg?,200,135,40,175,179,,,
Valg og partier,Hvor mange tillægsmandater fordeles i Danmark ved et folketingsvalg?,300,40,20,135,175,,,
Regeringer og politisk historie,Hvem blev Danmarks første socialdemokratiske statsminister i 1924?,100,Thorvald Stauning,Hans Hedtoft,H.C. Hansen,Jens Otto Krag,,,
Regeringer og politisk historie,Hvem blev Danmarks første kvindelige statsminister i 2011?,200,Helle Thorning-Schmidt,Margrethe Vestager,Mette Frederiksen,Lene Espersen,,,
"Kommuner, regioner og rigsfællesskab",Hvor mange regioner blev der oprettet ved strukturreformen i 2007?,100,5,3,7,14,,,
"Kommuner, regioner og rigsfællesskab",Hvad hedder kommunens folkevalgte øverste organ i de fleste kommuner?,200,kommunalbestyrelsen,regionsrådet,statsrådet,folketinget,,,
