Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar
Regning,Hvad er 304 - 167?,100,137,127,147,139,,,
Regning,Hvad er 14 · 9?,200,126,116,124,136,,,
Regning,Hvad er 144 ÷ 12?,300,12,10,11,14,,,
Regning,Hvad er 18 + 27 - 9?,400,36,34,38,45,,,
Brøker og procent,Hvilken brøk forkortes 6/8 til?,100,3/4,2/3,4/5,5/6,,,
Brøker og procent,Hvad er 10 % af 350?,200,35,30,40,45,,,
Brøker og procent,Hvad er 2/3 + 1/3?,300,1,2/6,3/6,4/3,,,
Brøker og procent,Hvad er 5/6 - 1/3?,400,1/2,1/3,2/3,4/6,,,
Geometri og måling,"Hvor mange millimeter er 3,5 cm?",100,35 mm,"3,5 mm",350 mm,"0,35 mm",,,
Geometri og måling,Hvad er arealet af en trekant med grundlinje 8 cm og højde 5 cm?,200,20 cm²,13 cm²,40 cm²,80 cm²,,,
Geometri og måling,Hvad er diameteren i en cirkel med radius 7 cm?,300,14 cm,"3,5 cm",7 cm,21 cm,,,
Geometri og måling,Hvor mange liter er 2.500 ml?,400,"2,5 liter","0,25 liter",25 liter,250 liter,,,
Tal og algebra,Hvilken værdi af x løser x + 7 = 19?,100,12,10,11,13,,,
Tal og algebra,Hvad er den største fælles divisor for 12 og 18?,200,6,2,3,9,,,
Tal og algebra,Hvad er det mindste fælles multiplum for 4 og 6?,300,12,8,10,24,,,
