Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar
Klima og drivhuseffekt,Hvad betyder antropogen?,100,menneskeskabt eller forårsaget af menneskelig aktivitet,skabt af vulkaner alene,forårsaget af Solens rotation,naturligt forekommende uden menneskelig påvirkning,,,
Klima og drivhuseffekt,Hvad er permafrost?,200,"jord eller undergrund, der er frossen i mindst to sammenhængende år","havvand, der fryser hver vinter","en gletsjer, der aldrig bevæger sig","sne, der ligger i mindst en uge",,,
Klima og drivhuseffekt,Hvad er en temperaturanomali?,300,forskellen mellem en målt temperatur og en valgt referenceværdi,den højeste temperatur målt på et termometer,et pludseligt vindstød,en fejl i Jordens bane,,,
Klima og drivhuseffekt,Hvad menes med globalt middelhavniveau?,400,et beregnet gennemsnit af havoverfladens højde globalt,højvandet i én bestemt havn,dybden i verdens dybeste grav,den gennemsnitlige bølgehøjde,,,
Klima og drivhuseffekt,Hvad måler havets varmeindhold?,500,den samlede varmeenergi lagret i havet,kun havoverfladens farve,antallet af fisk i havet,mængden af salt i en enkelt liter,,,
Klima og drivhuseffekt,Hvad beskriver en gletsjers massebalance?,600,forskellen mellem tilførsel og tab af sne og is,gletsjerens længde alene,antallet af sprækker i isen,temperaturen ved gletsjerens bund alene,,,
Klima og drivhuseffekt,Hvad er en vejrekstrem?,700,en sjælden eller usædvanligt kraftig vejrhændelse for et bestemt sted og tidspunkt,ethvert regnvejr om efteråret,en gennemsnitlig temperatur,en fast klimazone,,,
Klima og drivhuseffekt,Hvad er en klimamodel?,800,en matematisk repræsentation af klimasystemets processer,et fotografi af en sky,en liste over alle verdens byer,"et instrument, der kun måler lufttryk",,,
Menneskelige udledninger,Hvad kan afbrænding af biomasse udsende til atmosfæren?,100,"kuldioxid, partikler og andre luftforurenende stoffer",kun rent ilt,udelukkende vanddamp,ingen gasser eller partikler,,,
Menneskelige udledninger,Hvad menes med ændringer i arealanvendelse?,200,"at mennesker ændrer, hvordan jord dækkes og bruges, for eksempel fra skov til landbrug",at kontinenterne flytter sig naturligt,at lande ændrer tidszone,at havets dybde måles på ny,,,
