Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar
Solsystemets verdener,Hvilken planet er især kendt for sit tydelige ringsystem?,100,Saturn,Jupiter,Mars,Venus,,,
Solsystemets verdener,Hvilken planet roterer næsten liggende på siden?,200,Uranus,Neptun,Saturn,Mars,,,
Solsystemets verdener,Hvilken planet er længst fra Solen?,300,Neptun,Uranus,Saturn,Jupiter,,,
Solsystemets verdener,Hvor mange planeter har Solsystemet?,400,8,7,9,10,,,
Måner og smålegemer,Hvilken Jupiter-måne har sandsynligvis et globalt hav under isen?,100,Europa,Io,Ganymedes,Phobos,,,
Måner og smålegemer,Hvilken Jupiter-måne er det mest vulkansk aktive himmellegeme i Solsystemet?,200,Io,Europa,Callisto,Titan,,,
Måner og smålegemer,Hvilken Neptun-måne bevæger sig i retrograd bane?,300,Triton,Nereid,Titan,Charon,,,
Måner og smålegemer,Hvilken Saturn-måne udsender is- og vanddampe fra gejsere nær sydpolen?,400,Enceladus,Mimas,Iapetus,Dione,,,
Stjerner og galakser,Hvad hedder den nærmeste stjerne til Jorden efter Solen?,100,Proxima Centauri,Sirius,Vega,Betelgeuse,,,
Stjerner og galakser,Hvilken stjerne er den klareste på Jordens nattehimmel?,200,Sirius,Vega,Polaris,Rigel,,,
Stjerner og galakser,Hvad hedder Nordstjernen?,300,Polaris,Sirius,Altair,Deneb,,,
Stjerner og galakser,Hvilken stjerne er en rød superkæmpe i stjernebilledet Orion?,400,Betelgeuse,Vega,Solen,Procyon,,,
Rumfart og observation,Hvilken rumstation kredser i lav jordbane og har været permanent bemandet siden 2000?,100,Den Internationale Rumstation,Mir,Skylab,Tiangong-1,,,
Rumfart og observation,Hvilket rumteleskop blev opsendt i 1990?,200,Hubble-rumteleskopet,James Webb-rumteleskopet,Kepler-teleskopet,Gaia,,,
Rumfart og observation,Hvilket rumteleskop blev opsendt i december 2021?,300,James Webb-rumteleskopet,Hubble-rumteleskopet,Spitzer-teleskopet,Hipparcos,,,
