Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar
Værtsbyer og år,Hvilken by var vært for sommer-OL i 2008?,100,Beijing,Seoul,Tokyo,Shanghai,,,
Værtsbyer og år,Hvilken by var vært for sommer-OL i 2016?,200,Rio de Janeiro,Buenos Aires,São Paulo,Santiago,,,
Værtsbyer og år,Hvilken by var vært for sommer-OL i 2000?,300,Sydney,Melbourne,Brisbane,Perth,,,
Sportsgrene og discipliner,Hvilken vintersport kombinerer langrend og riffelskydning?,100,skiskydning,nordisk kombination,skiorientering,alpint skiløb,,,
Sportsgrene og discipliner,Hvilken sport spilles på is med granitsten og koste?,200,curling,ishockey,bandy,bobslæde,,,
Sportsgrene og discipliner,Hvilken ketsjersport bruger en fjerbold?,300,badminton,tennis,squash,bordtennis,,,
Symboler og organisation,Hvem designede de olympiske ringe i 1913?,100,Pierre de Coubertin,Thomas Bach,Demetrios Vikelas,Henri Didon,,,
Symboler og organisation,I hvilken schweizisk by har IOC sit hovedkvarter?,200,Lausanne,Genève,Zürich,Bern,,,
Atleter og præstationer,"Hvilken sprinter vandt 100 og 200 meter ved OL i 2008, 2012 og 2016?",100,Usain Bolt,Carl Lewis,Justin Gatlin,Yohan Blake,,,
Atleter og præstationer,Hvilken gymnast fik den første registrerede perfekte 10’er ved OL i Montréal 1976?,200,Nadia Comăneci,Olga Korbut,Larisa Latynina,Simone Biles,,,
