Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar
Guder og slægter,Hvem er Lokes far i Snorres Edda?,100,Fårbaute,Ymer,Ægir,Thjasse,,,
Guder og slægter,Hvem er Lokes mor i Snorres Edda?,200,Laufey,Angerboda,Sigyn,Bestla,,,
Guder og slægter,Hvilken gudinde bliver hos den bundne Loke og holder en skål over ham?,300,Sigyn,Sif,Nanna,Idun,,,
Guder og slægter,Hvilken gudinde er Balders hustru?,400,Nanna,Gerda,Skade,Ran,,,
Guder og slægter,Hvilken gud forbindes især med bueskydning og skiløb?,500,Ull,Brage,Høner,Vali,,,
Guder og slægter,Hvilken gudinde nævnes i eddadigtet Fjolsvinnsmål som en lægekyndig skikkelse?,600,Eir,Saga,Syn,Lofn,,,
Guder og slægter,Hvilken gudinde knyttes i sagnet om Gefion til udpløjningen af Sjælland?,700,Gefion,Gna,Vor,Fulla,,,
Guder og slægter,Hvilken havskikkelse holder ifølge myterne gæstebud for guderne?,800,Ægir,Mimer,Suttung,Gymir,,,
Væsner og genstande,"Hvad kaldes de kvindelige skikkelser, der udvælger faldne krigere?",100,valkyrier,nornen,vølver,fylgjer,,,
Væsner og genstande,"Hvilket dyr er Gullinbursti, som dværgene fremstiller til Frej?",200,en orne,en ulv,en hest,en ravn,,,
Væsner og genstande,"Hvilket dyr er Hildisvin, der forbindes med Freja?",300,en orne,en ged,en hjort,en ulv,,,
Væsner og genstande,"Hvad hedder det store skib, som bruges ved Balders begravelse?",400,Hringhorni,Naglfar,Skidbladner,Ellida,,,
Væsner og genstande,"Hvad hedder broen, som de døde krydser på vej mod Hel i Gylfaginning?",500,Gjallarbroen,Bifrost,Asbru,Regnbuebroen Iring,,,
Væsner og genstande,Hvilken drage er Sigurds modstander i Vølsungekredsen?,600,Fafner,Nidhug,Jormungand,Goin,,,
Væsner og genstande,"Hvad hedder de to ulve, som følger Odin?",700,Geri og Freki,Skoll og Hati,Tanngrisner og Tanngnjost,Hugin og Munin,,,
Væsner og genstande,"Hvad hedder den kedel, som Thor henter hos jætten Hymer til Ægirs gilde?",800,Hymers kedel,Odreør,Suttungs kar,Mimers bæger,,,
Verdener og fortællinger,Hvad er Ginnungagap i den nordiske skabelsesfortælling?,100,det gabende tomrum mellem urverdenerne,gudernes tingsted,broen til Asgård,hallen i Valhal,,,
Verdener og fortællinger,"Hvem bliver skabt, da rimfrost og varme mødes i Ginnungagap?",200,Ymer,Bure,Odin,Mimer,,,
Verdener og fortællinger,Hvilket urdyr slikker Bure frem af salte sten?,300,koen Audhumbla,geden Heidrun,hjorten Eiktyrner,ornen Gullinbursti,,,
Verdener og fortællinger,Hvad giver Frej bort for at få Gerda som hustru?,400,sit selvkæmpende sværd,sit skib Skidbladner,sin orne Gullinbursti,sin ring Draupner,,,
Verdener og fortællinger,Hvordan får Thor sin stjålne hammer tilbage i Trymskvadet?,500,han forklædes som brud,han vinder den i et væddemål,han bytter den for sit bælte,han finder den i havet,,,
Verdener og fortællinger,Hvordan vælger Skade sin ægtemand blandt guderne?,600,ved kun at se deres fødder,ved en bueskydningskonkurrence,ved at høre deres stemmer,ved at vælge deres våben,,,
Verdener og fortællinger,Hvilken slette er kampplads for guder og fjender ved Ragnarok?,700,Vigrid,Idasletten,Folkvang,Gladsheim,,,
"Kilder, ritualer og ord",Hvilken ugedag har på dansk navn efter guden Tyr?,100,tirsdag,torsdag,onsdag,lørdag,,,
"Kilder, ritualer og ord",Hvilken ugedag har i germanske sprog navn efter Odin eller Woden?,200,onsdag,mandag,fredag,søndag,,,
"Kilder, ritualer og ord",Hvad betyder betegnelsen æser?,300,"gudeslægten, som blandt andet Odin og Thor tilhører",alle jætter i Jotunheim,de døde i Hel,dværgene under jorden,,,
"Kilder, ritualer og ord",Hvad betyder betegnelsen vaner i nordisk mytologi?,400,"en gudeslægt knyttet blandt andet til Njord, Frej og Freja",en gruppe valkyrier,en slægt af ildjætter,de tre norner,,,
"Kilder, ritualer og ord",Hvilket eddadigt består i høj grad af Lokes fornærmelser mod guderne ved et gilde?,500,Loketrætten,Alvismål,Hymerskvadet,Rigsthula,,,
"Kilder, ritualer og ord",Hvilket eddadigt fortæller om Skirners frieri til Gerda på Frejs vegne?,600,Skirners Færd,Vaftrudnersmål,Grimnersmål,Fafnersmål,,,
"Kilder, ritualer og ord",Hvilket latinsk værk af Saxo Grammaticus rummer danske sagn med nordiske gudeskikkelser i omformet form?,700,Gesta Danorum,Heimskringla,Edda Sæmundar,Íslendingabók,,,
