Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar
Værtsbyer og år,Hvilken by var vært for sommer-OL i 1960?,100,Rom,Milano,Napoli,Firenze,,,
Værtsbyer og år,Hvilken by var vært for sommer-OL i 1952?,200,Helsinki,Stockholm,Oslo,København,,,
Værtsbyer og år,Hvilken by var hovedvært for sommer-OL i 1956?,300,Melbourne,Sydney,Auckland,Canberra,,,
Værtsbyer og år,Hvilken by var vært for sommer-OL i 1936?,400,Berlin,München,Hamborg,Köln,,,
Værtsbyer og år,Hvilken by var vært for sommer-OL i 1928?,500,Amsterdam,Rotterdam,Bruxelles,Antwerpen,,,
Værtsbyer og år,Hvilken by var vært for sommer-OL i 1924?,600,Paris,Lyon,Marseille,Nice,,,
Værtsbyer og år,Hvilken by var vært for sommer-OL i 1980?,700,Moskva,Leningrad,Kyiv,Minsk,,,
Sportsgrene og discipliner,Hvilken olympisk kampsport har rødder i Korea og lægger stor vægt på spark?,100,taekwondo,judo,karate,brydning,,,
Sportsgrene og discipliner,Hvilke tre våben bruges i olympisk fægtning?,200,"fleuret, kårde og sabel","rapir, lanse og dolk","sabel, spyd og skjold","kårde, bue og fleuret",,,
Sportsgrene og discipliner,Hvilke fire svømmearter indgår i individuel medley?,300,"butterfly, rygcrawl, brystsvømning og fri","crawl, hundesvømning, rygcrawl og dykning","butterfly, vandpolo, bryst og fri","ryg, bryst, synkronsvømning og fri",,,
Sportsgrene og discipliner,Hvilken atletikdisciplin består af ti øvelser for mænd i det traditionelle olympiske program?,400,tikamp,syvkamp,femkamp,triatlon,,,
Sportsgrene og discipliner,Hvilken atletikdisciplin bruger en fleksibel stang til at passere en overligger?,500,stangspring,højdespring,længdespring,trespring,,,
Sportsgrene og discipliner,Hvilken atletikdisciplin omfatter barrierer og en vandgrav?,600,3000 meter forhindringsløb,400 meter hæk,maraton,kapgang,,,
Symboler og organisation,Hvor tændes den olympiske flamme traditionelt før en moderne fakkelstafet?,100,Olympia i Grækenland,Athen Stadion,Lausanne,Delfi,,,
Symboler og organisation,Ved hvilke sommerlege blev den moderne olympiske fakkelstafet første gang gennemført?,200,Berlin 1936,Paris 1924,London 1948,Athen 1896,,,
Symboler og organisation,Ved hvilke lege blev den olympiske ed første gang aflagt?,300,Antwerpen 1920,Stockholm 1912,Paris 1924,Amsterdam 1928,,,
Symboler og organisation,Ved hvilke lege blev det olympiske flag med de fem ringe første gang hejst ved legene?,400,Antwerpen 1920,Paris 1900,London 1908,Berlin 1936,,,
Symboler og organisation,Hvad hed den første officielle olympiske maskot?,500,Waldi,Misha,Sam,Cobi,,,
Symboler og organisation,Ved hvilke lege var gravhunden Waldi officiel maskot?,600,München 1972,Montréal 1976,Moskva 1980,Los Angeles 1984,,,
Atleter og præstationer,Hvilken skøjteløber vandt alle fem herredistancer ved vinter-OL i 1980?,100,Eric Heiden,Johan Olav Koss,Sven Kramer,Ard Schenk,,,
Atleter og præstationer,Hvilken kunstskøjteløber vandt tre olympiske guldmedaljer i træk fra 1928 til 1936?,200,Sonja Henie,Katarina Witt,Peggy Fleming,Irina Rodnina,,,
Atleter og præstationer,"Hvilken atlet er den eneste, der har vundet olympisk guld ved både sommer- og vinterlege i forskellige sportsgrene?",300,Eddie Eagan,Clara Hughes,Christa Luding-Rothenburger,Jacob Tullin Thams,,,
Atleter og præstationer,Hvilken ungarsk fægter vandt holdguld i sabel ved seks olympiske lege i træk fra 1932 til 1960?,400,Aladár Gerevich,Pál Kovács,Rudolf Kárpáti,Nedo Nadi,,,
Atleter og præstationer,Hvilken nederlandsk atlet vandt fire atletikguld ved OL i London 1948?,500,Fanny Blankers-Koen,Wilma Rudolph,Irena Szewińska,Betty Cuthbert,,,
Atleter og præstationer,Hvilken amerikansk sprinter vandt tre guldmedaljer ved OL i Rom 1960?,600,Wilma Rudolph,Florence Griffith Joyner,Evelyn Ashford,Gail Devers,,,
