Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar
Skæve taktarter og danse,Hvilken taktart forbindes ofte med den bulgarske dans rachenitsa?,100,7/8,3/4,6/8,12/8,,,
Skæve taktarter og danse,Hvordan grupperes den græske kalamatianos normalt i 7/8?,200,3+2+2,2+2+3,2+3+2,4+3,,,
Skæve taktarter og danse,Hvilken taktart forbindes ofte med den bulgarske paidushko-dans?,300,5/8,7/8,9/8,11/8,,,
Skæve taktarter og danse,Hvilken taktart forbindes ofte med karsilamas?,400,9/8,5/8,7/8,12/8,,,
Roma og musik på tværs,Hvilken sprogfamilie tilhører romani?,100,den indoariske gren af den indoeuropæiske sprogfamilie,den uralske sprogfamilie,den semitiske sprogfamilie,den sinotibetanske sprogfamilie,,,
Roma og musik på tværs,Hvilken sang er internationalt kendt som Roma-folkets hymne?,200,"Gelem, Gelem","Jovano, Jovanke",Ajde Jano,Moj Dilbere,,,
Roma og musik på tværs,I hvilket år blev den første verdenskongres for Roma afholdt i London?,300,1971,1945,1989,2004,,,
Roma og musik på tværs,På hvilken dato markeres International Roma-dag?,400,8. april,1. maj,21. juni,10. december,,,
Instrumenter og ensembler,Hvilken type instrument er en zurna?,100,et kraftigt dobbelt-rørbladsinstrument,en bueharpe,en panfløjte,en rammetromme,,,
Instrumenter og ensembler,Hvordan frembringes tonen på en gadulka?,200,strengene stryges med en bue,strengene slås med hamre,instrumentet blæses fra enden,skindet slås med køller,,,
Instrumenter og ensembler,Hvilken instrumentfamilie tilhører tamburaen?,300,de knipsede langhalslutter,sækkepiberne,rammetrommerne,dobbelt-rørbladsinstrumenterne,,,
Instrumenter og ensembler,Hvor mange melodistrenge har den traditionelle gusle normalt?,400,én,to,seks,tolv,,,
"Stilarter, sange og steder",Hvad kendetegner albansk iso-polyfoni?,100,solostemmer over en fastholdt bordun,en enkelt trommesolo,enstemmig sang uden ledsagelse,udelukkende messingblæsere,,,
"Stilarter, sange og steder",Hvad kendetegner den rumænske doina?,200,"en lyrisk, ofte improviseret solosang med fri karakter",en hurtig militærmarch,en fast pardans i 2/4,en flerstemmig a cappella-hymne,,,
"Stilarter, sange og steder",Hvilken bulgarsk region forbindes med Bistritsa Babi og deres arkaiske polyfoni?,300,Shoplouk,Dobrudja alene,Dalmatien,Transsylvanien,,,
