Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar
Lande og styreformer,Hvilken by er Sveriges hovedstad?,100,Stockholm,Göteborg,Helsinki,København,,,
Lande og styreformer,Hvad er navnet på Finlands hovedstad?,200,Helsinki,Turku,Tampere,Stockholm,,,
Lande og styreformer,Hvilken by fungerer som Islands hovedstad?,300,Reykjavík,Akureyri,Tórshavn,Nuuk,,,
Natur og geografi,Hvilket område er størst i hele Norden målt på areal?,100,Grønland,Sverige,Norge,Finland,,,
Natur og geografi,Hvilket land har Danmarks eneste landegrænse?,200,Tyskland,Sverige,Norge,Nederlandene,,,
Natur og geografi,Hvilke to lande har Sverige landegrænse til?,300,Norge og Finland,Danmark og Norge,Finland og Rusland,Norge og Danmark,,,
Sprog og kultur,Hvad er Sveriges hovedsprog?,100,svensk,finsk,norsk,dansk,,,
Sprog og kultur,Hvad er Norges officielle nationale sprog?,200,norsk,svensk,islandsk,dansk,,,
Historie og samarbejde,Hvilket år begyndte Nordisk Ministerråd sit regeringssamarbejde?,100,1971,1952,1962,1995,,,
Historie og samarbejde,Hvad hedder grundaftalen fra 1962 om det officielle nordiske samarbejde?,200,Helsingforsaftalen,Kalmaraftalen,Osloaftalen,Stockholmpagten,,,
