Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar
Kroppe og tilpasninger,Hvilket pattedyr har bevægelige knogleplader som ydre panser?,100,bæltedyr,jordsvin,myresluger,pangolin,,,
Kroppe og tilpasninger,Hvilken ørkenræv bruger meget store ører til både hørelse og varmeafgivelse?,200,fennek,polarræv,mårhund,ørkenlos,,,
Kroppe og tilpasninger,"Hvilket pattedyr lever i kolonier med en reproducerende dronning på en måde, der minder om eusociale insekter?",300,nøgen muldvarper,præriehund,jordegern,muldvarp,,,
Kroppe og tilpasninger,Hvorfor ser en blobfisk ofte markant anderledes ud på fotografier fra overfladen end i dybhavet?,400,trykfald beskadiger og deformerer kroppen,den skifter køn i sollys,den puster sig med luft,den smelter ved højere saltindhold,,,
Kroppe og tilpasninger,Hvilken abeart er kendt for hannens meget store hængende næse?,500,næseabe,mandril,brøleabe,uakari,,,
Kroppe og tilpasninger,"Hvilken lemur bruger en lang, tynd langfinger til at hente larver ud af træ?",600,aye-aye,indri,kattalemur,sifaka,,,
Kroppe og tilpasninger,"Hvilket antilopelignende dyr har en stor, fleksibel næse, som filtrerer støv og opvarmer kold luft?",700,saiga,okapi,gerenuk,gnu,,,
Levesteder og udbredelse,På hvilket kontinent lever kapivaren naturligt?,100,Sydamerika,Europa,Asien,Afrika,,,
Levesteder og udbredelse,I hvilket område lever moskusoksen naturligt?,200,arktiske egne,Amazonas,Sahara,Sydøstasien,,,
Levesteder og udbredelse,I hvilke varme havområder lever dugongen?,300,Indo-Stillehavsområdet,Nordatlanten,Middelhavet,Østersøen,,,
Levesteder og udbredelse,I hvilke vandområder lever søkøer af slægten Trichechus?,400,varme kyster og floder omkring Atlanterhavet,kun i Stillehavets dybhav,kun i Antarktis,kun i Kaspiske Hav,,,
Levesteder og udbredelse,Hvor findes tuataraen naturligt?,500,på øer ved New Zealand,på Galápagosøerne,på Madagascar,på Borneo,,,
Levesteder og udbredelse,I hvilken del af Afrika lever gerenukken naturligt?,600,Østafrika,Vestafrika,Kaplandet,Congo-bækkenet,,,
Adfærd og føde,Hvad kaldes den lokalt lærte variation i spækhuggeres jagtmetoder?,100,kultur,metamorfose,homeostase,mimikry,,,
Adfærd og føde,"Hvilken jagtmetode bruger pukkelhvaler, når de svømmer i cirkler og blæser bobler omkring fisk?",200,boblenetjagt,bundtrawling,elektrolokalisering,giftjagt,,,
Adfærd og føde,"Hvilken fugl er kendt for problemløsning, planlægning og brug af redskaber?",300,ravn,struds,flamingo,pingvin,,,
Adfærd og føde,Hvilket insekt “malker” bladlus for sukkerholdig honningdug?,400,myrer,guldsmede,sommerfugle,græshopper,,,
Adfærd og føde,"Hvad dyrker bladskærermyrer på de blade, de samler?",500,svampe,mos,alger,bakteriekolonier,,,
Adfærd og føde,Hvilken fisk lever ofte i et gensidigt samarbejde med en pistolreje og holder vagt ved hulen?,600,kutling,klovnfisk,remora,muræne,,,
Slægtskab og formering,Hvad er koraller biologisk set?,100,kolonier af små dyr,undervandsplanter,svampe,mineraler uden levende væv,,,
Slægtskab og formering,Hvilken hovedgruppe tilhører havsvampe?,200,dyr,planter,svampe,protister,,,
Slægtskab og formering,Hvilken selvstændig dyrerække tilhører bjørnedyr?,300,Tardigrada,Annelida,Mollusca,Cnidaria,,,
Slægtskab og formering,Hvad betyder neoteni hos axolotlen?,400,den bliver kønsmoden uden at miste larvetrækkene,den skifter køn hvert år,den formerer sig kun ved deling,den lever uden gæller som larve,,,
Slægtskab og formering,"Hvilken dyreklasse tilhører ormepadder, caecilier?",500,padder,krybdyr,fisk,ledorme,,,
Slægtskab og formering,Hvilken nulevende krybdyrorden har kun tuataraen som overlevende repræsentant?,600,Rhynchocephalia,Crocodylia,Testudines,Squamata,,,
