Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar
"Konger, krige og demokrati",Hvilken begivenhed i marts 1848 førte til dannelsen af en ny regering og arbejdet frem mod grundloven?,100,Martsdagene,Påskekrisen,Slaget på Fælleden,Augustoprøret,,,
"Konger, krige og demokrati",Hvilken dato ophørte den danske samarbejdsregering med at fungere under besættelsen?,200,29. august 1943,9. april 1940,4. maj 1945,19. september 1944,,,
"Konger, krige og demokrati",Til hvilket land blev størstedelen af de danske jøder bragt i sikkerhed i oktober 1943?,300,Sverige,Norge,Storbritannien,Schweiz,,,
"Konger, krige og demokrati",Hvilket europæisk samarbejde blev Danmark medlem af den 1. januar 1973?,400,EF,EFTA,Europarådet,Schengen,,,
"Konger, krige og demokrati",Hvilket år stemte et flertal af danskerne ja til medlemskab af EF?,500,1972,1969,1979,1986,,,
"Konger, krige og demokrati",Hvilket kammer blev afskaffet med grundloven af 1953?,600,Landstinget,Folketinget,Statsrådet,Højesteret,,,
"Konger, krige og demokrati",Hvilken ændring af tronfølgeloven blev godkendt ved folkeafstemning i 2009?,700,fuld ligestilling mellem kønnene i arvefølgen,valgkongedømme,afskaffelse af monarkiet,krav om mandlig førstefødsel,,,
"Konger, krige og demokrati",Hvilket år fik Grønland hjemmestyre?,800,1979,1953,1985,2009,,,
"Byer, øer og landskaber","Hvilket område i Sydvestjylland er en del af UNESCOs verdensarv på grund af tidevand, vader og trækfugle?",100,Vadehavet,Mols Bjerge,Stevns Klint,Rold Skov,,,
"Byer, øer og landskaber",Hvilken klint på Sjælland viser et tydeligt lag fra asteroidenedslaget ved overgangen mellem kridt og palæogen?,200,Stevns Klint,Møns Klint,Bulbjerg,Sangstrup Klint,,,
"Byer, øer og landskaber",Hvilken halvø rummer Nationalpark Mols Bjerge?,300,Djursland,Hindsholm,Odsherred,Salling,,,
"Byer, øer og landskaber",Hvilken fjord skærer sig fra Thyborøn gennem Nordjylland til Hals?,400,Limfjorden,Roskilde Fjord,Isefjord,Ringkøbing Fjord,,,
"Byer, øer og landskaber","Hvilken øgruppe ligger syd for Fyn og omfatter blandt andet Ærø, Tåsinge og Langeland?",500,Det Sydfynske Øhav,Ertholmene,Smålandsfarvandet,Vadehavsøerne,,,
"Byer, øer og landskaber",Hvilken lille øgruppe øst for Bornholm omfatter Christiansø og Frederiksø?,600,Ertholmene,Hirsholmene,Romsøgruppen,Saltholmene,,,
"Byer, øer og landskaber","Hvilken by ligger nær Grenen, hvor Skagerrak og Kattegat mødes?",700,Skagen,Hirtshals,Frederikshavn,Sæby,,,
"Byer, øer og landskaber",Hvilken dansk købstad regnes almindeligvis som landets ældste by?,800,Ribe,Viborg,Roskilde,Odense,,,
Oldtid og middelalder,Hvem dræbte grev Gerhard 3. i Randers i 1340 ifølge den historiske tradition?,100,Niels Ebbesen,Skipper Clement,Marsk Stig,Absalon,,,
Oldtid og middelalder,Hvilken epidemi ramte Danmark omkring 1350 og reducerede befolkningen kraftigt?,200,Den sorte død,kopper,kolera,den spanske syge,,,
Oldtid og middelalder,"Hvilken union mellem Danmark, Norge og Sverige blev formelt etableret i 1397?",300,Kalmarunionen,Hanseforbundet,Nordsøimperiet,Den Nordiske Liga,,,
Oldtid og middelalder,Hvilken konge grundlagde Københavns Universitet i 1479?,400,Christian 1.,Christian 2.,Hans,Frederik 1.,,,
Oldtid og middelalder,Hvilken ærkebiskop og statsmand forbindes med opførelsen af en borg ved Havn i 1100-tallet?,500,Absalon,Ansgar,Eskil,Anders Sunesen,,,
Oldtid og middelalder,Hvilken handelsorganisation dominerede meget af Østersøhandelen i senmiddelalderen?,600,Hanseforbundet,Kalmarunionen,Templerordenen,Hollandsk Ostindisk Kompagni,,,
Oldtid og middelalder,Hvad kaldes de malede bibelske og folkelige billeder i mange danske middelalderkirker?,700,kalkmalerier,mosaikker,ikonostaser,træsnit,,,
Kulturhistorie og samfund,Hvilken sangbog udkom første gang i 1894 og blev central i højskolebevægelsens fællessang?,100,Højskolesangbogen,Koralbogen,Den Danske Salmebog,Folkevisesamlingen,,,
Kulturhistorie og samfund,Hvilken roman af Aksel Sandemose introducerede begrebet Janteloven?,200,En flygtning krydser sit spor,Lykke-Per,Kongens fald,Hærværk,,,
Kulturhistorie og samfund,Hvilken valutaenhed blev indført i Danmark ved den skandinaviske møntunion i 1875?,300,kronen,marken,daleren,gylden,,,
Kulturhistorie og samfund,Hvilket landsdækkende personregister blev indført i Danmark i 1968?,400,CPR-registeret,Matrikelregisteret,CVR-registeret,BBR-registeret,,,
Kulturhistorie og samfund,Hvilken konge oprettede et organiseret dansk postvæsen i 1624?,500,Christian 4.,Frederik 3.,Christian 5.,Frederik 4.,,,
Kulturhistorie og samfund,"Hvad hed den versificerede avis, som Anders Bording begyndte at udgive i 1666?",600,Den Danske Mercurius,Adresseavisen,Berlingske Tidende,Fædrelandet,,,
Kulturhistorie og samfund,Hvilken lov fra 1920 lagde grund for et landsdækkende system af offentlige biblioteker?,700,biblioteksloven,folkeskoleloven,presseloven,arkivloven,,,
