Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar
Symboler og navne,Hvilket grundstof har symbolet Cr?,100,Krom,Mangan,Gallium,Sølv,,,
Symboler og navne,Hvad er det kemiske symbol for mangan?,200,Mn,Co,Se,Ba,,,
Symboler og navne,Hvilket grundstof har symbolet Fe?,300,Jern,Kobolt,Arsen,Jod,,,
Symboler og navne,Hvad er det kemiske symbol for kobolt?,400,Co,Cu,Kr,Au,,,
Symboler og navne,Hvilket grundstof har symbolet Ni?,500,Nikkel,Kobber,Brom,Cæsium,,,
Symboler og navne,Hvad er det kemiske symbol for kobber?,600,Cu,Ga,Sn,Pb,,,
Symboler og navne,Hvilket grundstof har symbolet Zn?,700,Zink,Gallium,Sølv,Platin,,,
Symboler og navne,Hvad er det kemiske symbol for gallium?,800,Ga,As,Xe,Ra,,,
Atomnumre og system,Hvad er atomnummeret for kobolt?,100,27,28,26,29,,,
Atomnumre og system,Hvad er atomnummeret for nikkel?,200,28,29,27,30,,,
Atomnumre og system,Hvad er atomnummeret for kobber?,300,29,30,28,31,,,
Atomnumre og system,Hvad er atomnummeret for zink?,400,30,31,29,32,,,
Atomnumre og system,Hvad er atomnummeret for gallium?,500,31,32,30,33,,,
Atomnumre og system,Hvad er atomnummeret for germanium?,600,32,33,31,34,,,
Atomnumre og system,Hvad er atomnummeret for arsen?,700,33,34,32,35,,,
Atomnumre og system,Hvad er atomnummeret for selen?,800,34,35,33,36,,,
Grupper og egenskaber,Hvilket grundstof er en halvleder og grundlaget for mange computerchips?,100,Silicium,Natrium,Argon,Brom,,,
Grupper og egenskaber,Hvilket grundstof har det højeste smeltepunkt blandt rene metaller?,200,Wolfram,Jern,Guld,Kviksølv,,,
Grupper og egenskaber,Hvilket grundstof er kendt for at sublimere fra fast stof til violet damp?,300,Jod,Brom,Klor,Fluor,,,
Grupper og egenskaber,Hvilket af disse er et overgangsmetal?,400,Titan,Neon,Fosfor,Kalium,,,
Grupper og egenskaber,Hvilken grundstofgruppe omfatter cerium og europium?,500,Lanthaniderne,Halogenerne,Ædelgasserne,Alkalimetallerne,,,
Grupper og egenskaber,Hvilken grundstofgruppe omfatter thorium og uran?,600,Aktiniderne,Lanthaniderne,Halogenerne,Jordalkalimetallerne,,,
Grupper og egenskaber,Hvilket grundstof afslutter periode 7 med atomnummer 118?,700,Oganesson,Tennessine,Nihonium,Moscovium,,,
Stoffer og anvendelser,Hvilken forbindelse har formlen CH₄?,100,Metan,Ethanol,Ammoniak,Kuldioxid,,,
Stoffer og anvendelser,Hvilken syre har formlen HCl i vandig opløsning?,200,Saltsyre,Svovlsyre,Salpetersyre,Eddikesyre,,,
Stoffer og anvendelser,Hvilken base har formlen NaOH?,300,Natriumhydroxid,Kaliumchlorid,Calciumcarbonat,Natriumnitrat,,,
Stoffer og anvendelser,Hvilken forbindelse er hovedbestanddelen i kalksten?,400,Calciumcarbonat,Natriumchlorid,Siliciumdioxid,Magnesiumsulfat,,,
Stoffer og anvendelser,Hvilken gas dannes ved fuldstændig forbrænding af kulstofholdige brændstoffer sammen med vand?,500,Kuldioxid,Kulmonoxid,Klor,Ammoniak,,,
Stoffer og anvendelser,Hvilket metal indgår sammen med kobber i legeringen messing?,600,Zink,Tin,Jern,Aluminium,,,
Stoffer og anvendelser,Hvilket metal indgår sammen med kobber i klassisk bronze?,700,Tin,Zink,Nikkel,Bly,,,
