Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar
Lande og hovedstæder,Hvad er Sveriges hovedstad?,100,Stockholm,Göteborg,Oslo,Helsinki,,,
Lande og hovedstæder,Hvad er Finlands hovedstad?,200,Helsinki,Turku,Stockholm,Tallinn,,,
Lande og hovedstæder,Hvad er Islands hovedstad?,300,Reykjavík,Akureyri,Tórshavn,Nuuk,,,
"Bjerge, floder og landskaber",På hvilket kontinent ligger størstedelen af Sahara?,100,Afrika,Asien,Australien,Sydamerika,,,
"Bjerge, floder og landskaber",På hvilket kontinent ligger Andesbjergene?,200,Sydamerika,Nordamerika,Asien,Afrika,,,
"Bjerge, floder og landskaber",Hvilken flod løber gennem London?,300,Themsen,Seinen,Rhinen,Tiberen,,,
"Hav, øer og grænser",Hvilket stræde forbinder Middelhavet med Atlanterhavet?,100,Gibraltarstrædet,Bosporus,Hormuzstrædet,Malaccastrædet,,,
"Hav, øer og grænser",Hvilket stræde forbinder Sortehavet med Marmarahavet?,200,Bosporus,Dardanellerne,Gibraltarstrædet,Beringstrædet,,,
"Kort, klima og verdensdele",Hvad måler breddegrader?,100,afstand nord eller syd for ækvator,højde over havet,afstand øst eller vest for nulmeridianen,afstand til nærmeste pol,,,
"Kort, klima og verdensdele",Hvad måler længdegrader?,200,afstand øst eller vest for nulmeridianen,afstand nord eller syd for ækvator,landskabets hældning,lufttrykkets variation,,,
