Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar
Grundlov og Folketing,Hvad hedder Folketingets øverste ledelse med formanden og fire næstformænd?,100,Præsidiet,Statsrådet,Udvalgsrådet,Rigsretten,,,
Grundlov og Folketing,Hvilken institution undersøger klager over offentlige myndigheders forvaltning på Folketingets vegne?,200,Folketingets Ombudsmand,Rigsrevisionen,Højesteret,Datatilsynet,,,
Grundlov og Folketing,Hvilken grundlovsbestemt frihed beskytter retten til at ytre sig under ansvar for domstolene?,300,ytringsfriheden,forsamlingspligten,valgbarheden,aktindsigten,,,
Grundlov og Folketing,Hvilken grundlovsbestemt frihed beskytter retten til at danne foreninger i lovligt øjemed?,400,foreningsfriheden,boligretten,vetoretten,skattefriheden,,,
Grundlov og Folketing,Hvilken grundlovsbestemt frihed beskytter retten til at samles ubevæbnet?,500,forsamlingsfriheden,pressefriheden,ejendomsretten,næringsfriheden,,,
Grundlov og Folketing,Hvilket krav gælder ved en folkeafstemning om en grundlovsændring ud over et flertal af de afgivne stemmer?,600,ja-stemmerne skal udgøre mindst 40 procent af alle stemmeberettigede,mindst to tredjedele af kommunerne skal stemme ja,alle partier skal stemme ja,valgdeltagelsen skal være 100 procent,,,
Grundlov og Folketing,Hvad er Danmark ifølge grundloven?,700,et indskrænket monarki,en føderal republik,et enevældigt kongedømme,en konføderation,,,
Grundlov og Folketing,Hvilken kirke er ifølge grundloven den danske folkekirke?,800,den evangelisk-lutherske kirke,den romersk-katolske kirke,den reformerte kirke,den anglikanske kirke,,,
Valg og partier,Hvilket år blev Socialistisk Folkeparti stiftet?,100,1959,1945,1968,1973,,,
Valg og partier,Hvilket år blev Enhedslisten dannet?,200,1989,1973,1995,2007,,,
Valg og partier,Hvilket år blev Dansk Folkeparti stiftet?,300,1995,1989,2001,2007,,,
Valg og partier,Hvilket parti blev stiftet af Uffe Elbæk i 2013?,400,Alternativet,Moderaterne,Liberal Alliance,Danmarksdemokraterne,,,
Valg og partier,Hvilket parti opstod omkring Lars Løkke Rasmussen i 2022?,500,Moderaterne,Alternativet,Nye Borgerlige,Centrum-Demokraterne,,,
Valg og partier,Hvilket parti blev stiftet af Inger Støjberg i 2022?,600,Danmarksdemokraterne,Moderaterne,Fremskridtspartiet,Kristendemokraterne,,,
Valg og partier,Hvor ofte afholdes kommunal- og regionalvalg som hovedregel?,700,hvert fjerde år,hvert andet år,hvert tredje år,hvert femte år,,,
Valg og partier,Hvor ofte vælges medlemmerne af Europa-Parlamentet?,800,hvert femte år,hvert tredje år,hvert fjerde år,hvert sjette år,,,
Regeringer og politisk historie,"Hvad kaldes en regering, hvis partier tilsammen har færre end 90 mandater?",100,mindretalsregering,flertalsregering,overgangsregering,regionalregering,,,
Regeringer og politisk historie,"Hvad sker der, hvis Folketinget vedtager et mistillidsvotum til statsministeren?",200,regeringen skal gå af eller udskrive valg,Folketinget opløses automatisk i otte år,monarken overtager regeringen,Højesteret udpeger nye ministre,,,
Regeringer og politisk historie,"Hvad kaldes en regering, der midlertidigt fortsætter efter et valg eller en afskedsbegæring?",300,forretningsministerium,koalitionsregering,regionsråd,præsidium,,,
Regeringer og politisk historie,Hvem udnævner formelt statsministeren og de øvrige ministre?,400,monarken,Folketingets formand,Højesteret,vælgerne direkte,,,
Regeringer og politisk historie,Hvad er et ministerium?,500,den centrale administration under en minister,et udvalg i en kommune,en domstol,et politisk parti,,,
Regeringer og politisk historie,"Hvad kaldes et møde, hvor en minister svarer et folketingsudvalg om en sag?",600,samråd,statsråd,partikongres,kommunalvalg,,,
Regeringer og politisk historie,Hvilket organ behandler sager om ministres ansvar for deres embedsførelse?,700,Rigsretten,Højesteret alene,Folketingets Præsidium,Valgnævnet,,,
"Kommuner, regioner og rigsfællesskab",Hvilket år fik Grønland hjemmestyre?,100,1979,1948,1953,2009,,,
"Kommuner, regioner og rigsfællesskab",Hvilket år trådte Grønlands selvstyreordning i kraft?,200,2009,1979,1985,2015,,,
"Kommuner, regioner og rigsfællesskab",Hvad kaldes den danske stats repræsentant på Færøerne og i Grønland?,300,rigsombudsmanden,amtmanden,landsdommeren,statsrevisoren,,,
"Kommuner, regioner og rigsfællesskab",Hvor mange mandater har Færøerne i Folketinget?,400,2,1,3,4,,,
"Kommuner, regioner og rigsfællesskab",Hvor mange mandater har Grønland i Folketinget?,500,2,1,3,4,,,
"Kommuner, regioner og rigsfællesskab",Hvilket politikområde varetages som udgangspunkt af staten for hele rigsfællesskabet?,600,forsvars- og sikkerhedspolitik,kommunal renovation,folkeskoleundervisning,lokal boligplanlægning,,,
"Kommuner, regioner og rigsfællesskab",Hvilken ret har kommunerne efter grundloven under statens tilsyn?,700,kommunalt selvstyre,uafhængig udenrigspolitik,egen grundlov,ret til at udstede valuta,,,
