Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar
Renæssance og barok,Hvem komponerede værket “Kanon i D-dur”?,100,Johann Pachelbel,Arcangelo Corelli,Dieterich Buxtehude,Georg Philipp Telemann,,,
Renæssance og barok,Hvem komponerede værket “Water Music”?,200,Georg Friedrich Händel,Johann Sebastian Bach,Antonio Vivaldi,Henry Purcell,,,
Renæssance og barok,"Hvem komponerede værket “Gloria i D-dur, RV 589”?",300,Antonio Vivaldi,Johann Sebastian Bach,Georg Friedrich Händel,Henry Purcell,,,
Renæssance og barok,Hvem komponerede værket “The Fairy Queen”?,400,Henry Purcell,Johann Sebastian Bach,Georg Friedrich Händel,Antonio Vivaldi,,,
Renæssance og barok,"Hvem komponerede værket “Julekoncerten, opus 6 nr. 8”?",500,Arcangelo Corelli,Johann Pachelbel,Dieterich Buxtehude,Georg Philipp Telemann,,,
Klassik og tidlig romantik,Hvem komponerede værket “Måneskinssonaten”?,100,Ludwig van Beethoven,Wolfgang Amadeus Mozart,Joseph Haydn,Luigi Boccherini,,,
Klassik og tidlig romantik,Hvem komponerede værket “Eine kleine Nachtmusik”?,200,Wolfgang Amadeus Mozart,Ludwig van Beethoven,Joseph Haydn,Luigi Boccherini,,,
Klassik og tidlig romantik,"Hvem komponerede værket “Klarinetkoncerten i A-dur, K. 622”?",300,Wolfgang Amadeus Mozart,Ludwig van Beethoven,Franz Schubert,Carl Maria von Weber,,,
Klassik og tidlig romantik,Hvem komponerede værket “Kejserkvartetten”?,400,Joseph Haydn,Wolfgang Amadeus Mozart,Ludwig van Beethoven,Luigi Boccherini,,,
Klassik og tidlig romantik,"Hvem komponerede værket “Menuetten fra strygekvintetten i E-dur, opus 11 nr. 5”?",500,Luigi Boccherini,Wolfgang Amadeus Mozart,Ludwig van Beethoven,Joseph Haydn,,,
Romantik og nationalromantik,Hvem komponerede værket “Carmen”?,100,Georges Bizet,Richard Wagner,Giuseppe Verdi,Giacomo Puccini,,,
Romantik og nationalromantik,Hvem komponerede værket “Aida”?,200,Giuseppe Verdi,Richard Wagner,Giacomo Puccini,Georges Bizet,,,
Romantik og nationalromantik,Hvem komponerede værket “La bohème”?,300,Giacomo Puccini,Richard Wagner,Giuseppe Verdi,Georges Bizet,,,
Romantik og nationalromantik,"Hvem komponerede værket “Vltava, også kaldet Moldau”?",400,Bedřich Smetana,Johannes Brahms,Pjotr Tjajkovskij,Antonín Dvořák,,,
Romantik og nationalromantik,Hvem komponerede værket “Tristan und Isolde”?,500,Richard Wagner,Giuseppe Verdi,Giacomo Puccini,Georges Bizet,,,
1900-tallet og Norden,Hvem komponerede værket “Rhapsody in Blue”?,100,George Gershwin,Benjamin Britten,Aaron Copland,Leonard Bernstein,,,
1900-tallet og Norden,"Hvem komponerede værket “Symfoni nr. 5 i d-mol, opus 47”?",200,Dmitrij Sjostakovitj,Béla Bartók,Sergej Prokofjev,Leoš Janáček,,,
1900-tallet og Norden,Hvem komponerede værket “War Requiem”?,300,Benjamin Britten,Aaron Copland,George Gershwin,Leonard Bernstein,,,
1900-tallet og Norden,Hvem komponerede værket “Appalachian Spring”?,400,Aaron Copland,Benjamin Britten,George Gershwin,Leonard Bernstein,,,
1900-tallet og Norden,Hvem komponerede værket “Sinfonietta fra 1926”?,500,Leoš Janáček,Béla Bartók,Sergej Prokofjev,Dmitrij Sjostakovitj,,,
