Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar
Krop og bevægelse,Hvor mange taktslag har skridt normalt?,100,fire,to,tre,fem,,,
Krop og bevægelse,Hvor mange taktslag har trav normalt?,200,to,tre,fire,ét,,,
Krop og bevægelse,Hvordan bevæger benene sig i almindelig trav?,300,i diagonale benpar,begge ben på samme side samtidig,alle fire ben samtidig,ét forben ad gangen uden bagben,,,
Krop og bevægelse,Hvad kaldes den store del af kroppen omkring ribbenene?,400,brystkassen,ganachen,pollen,koden,,,
Krop og bevægelse,Hvad kaldes det muskuløse område mellem knæled og hase på bagbenet?,500,underlåret,underarmen,piben,brystkassen,,,
Krop og bevægelse,Hvad er en “kastanje” på et hesteben?,600,"en hornagtig, hårløs hudfortykkelse",en ekstra hov,en farveplet i pelsen,en hævelse i kodeleddet,,,
Krop og bevægelse,Hvad er en spore eller ergot på hestens ben?,700,en lille hornagtig udvækst ved kodeområdet,en ekstra tand,en del af øret,en knogle i halen,,,
Pasning og sundhed,Hvorfor er kontakt med andre heste vigtig for de fleste heste?,100,heste er sociale flokdyr,heste lever naturligt altid alene,social kontakt erstatter behovet for vand,heste kan kun hvile uden artsfæller,,,
Pasning og sundhed,Hvad giver foldtid eller turnout blandt andet mulighed for?,200,"fri bevægelse, græsning og social adfærd",at undgå al motion,at leve uden læ eller vand,at erstatte hovpleje,,,
Pasning og sundhed,Hvad er et vigtigt formål med strigling?,300,at rense pels og hud og samtidig opdage sår eller hævelser,at ændre hestens knogler,at gøre hoven længere,at erstatte vaccination,,,
Pasning og sundhed,Hvorfor skridtes en varm hest ofte af efter arbejde?,400,for gradvist at sænke belastning og temperatur,for at øge pulsen mest muligt,for at undgå at hesten drikker senere,for at gøre musklerne kolde med det samme,,,
Pasning og sundhed,Hvad vurderer en body condition score?,500,mængden og fordelingen af kropsfedt,hestens intelligens,hovens hårdhed,antallet af tænder,,,
Pasning og sundhed,Hvorfor er korrekt sadeltilpasning vigtig?,600,"en dårligt passende sadel kan give tryk, smerte og bevægelsesproblemer",sadlen bestemmer hestens pelsfarve,en større sadel gør altid rytteren lettere,sadeltilpasning påvirker kun udseendet,,,
Racer og anvendelse,Hvilken race har navn efter sin fart over en kvart engelsk mil?,100,American Quarter Horse,Standardbred,Morgan,Saddlebred,,,
Racer og anvendelse,Hvilken amerikansk race forbindes stærkt med plettet pels og Nez Perce-folket?,200,Appaloosa,Morgan,Mustang,Tennessee Walking Horse,,,
Racer og anvendelse,Fra hvilket land stammer Welsh-ponyen?,300,Wales,Irland,Skotland,Frankrig,,,
Racer og anvendelse,Fra hvilken irsk region stammer Connemara-ponyen?,400,Connemara i det vestlige Irland,Ulster i nord,Wexford i sydøst,Dublinområdet,,,
Racer og anvendelse,"Hvilken amerikansk race blev grundlagt omkring hingsten Figure, senere kaldt Justin Morgan?",500,Morgan,Quarter Horse,Standardbred,Appaloosa,,,
Racer og anvendelse,Hvilken historisk region gav navn til Trakehner-racen?,600,Østpreussen,Bretagne,Andalusien,Bøhmen,,,
Ridning og hestesport,Hvad er et changement i galop?,100,et skift af galopanslag,et skift fra trav til skridt alene,en ændring af sadel,et spring over vandgrav,,,
Ridning og hestesport,"Hvad er en lodret springforhindring, vertical?",200,en forhindring med bommene omtrent i samme lodrette plan,en bred forhindring med to sæt støtter,en grøft uden bomme,en rund voltigeringscirkel,,,
Ridning og hestesport,Hvad er en oxer i springning?,300,en bred forhindring med elementer i to lodrette planer,en enkelt lodret forhindring uden bredde,en jordvold i terrænet,en dressurbogstavmarkering,,,
Ridning og hestesport,Hvad er en springkombination?,400,to eller flere forhindringer med få galopspring imellem,en dressurøvelse med to ryttere,en vogn med fire hjul,en løbsbane uden sving,,,
Ridning og hestesport,"Hvad er en versade, også kaldet shoulder-in?",500,en sideførende dressurbevægelse,et længdespring,en type hestesko,en galopstart fra startboks,,,
Ridning og hestesport,Hvad er en sidetraversade (half-pass) i dressur?,600,en diagonal sidebevægelse med bøjning i bevægelsesretningen,en lige tilbagetrædning,en springkombination,en hurtig vending i polo,,,
