Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar
Lande og styreformer,Hvilken forsamling er Sveriges parlament?,100,Riksdagen,Stortinget,Lagtinget,Folketinget,,,
Lande og styreformer,Hvad hedder Finlands parlament på finsk?,200,Eduskunta,Riksdagen,Alþingi,Inatsisartut,,,
Lande og styreformer,Hvad kaldes det islandske parlament?,300,Alþingi,Folketinget,Stortinget,Lagtinget,,,
Lande og styreformer,Hvilken forsamling vedtager love på Grønlands selvstyreområder?,400,Inatsisartut,Naalakkersuisut,Løgtingið,Alþingi,,,
Lande og styreformer,Hvilken forsamling er Færøernes lovgivende parlament?,500,Løgtingið,Inatsisartut,Stortinget,Eduskunta,,,
Lande og styreformer,Hvad kaldes Ålands selvstyrende parlament?,600,Lagtinget,Folketinget,Riksdagen,Løgtingið,,,
Lande og styreformer,Hvor mange selvstændige stater regnes normalt som de nordiske lande?,700,fem,tre,seks,otte,,,
Lande og styreformer,Hvor mange lande og selvstyrende områder omfatter Norden ifølge Nordisk Samarbejde?,800,otte,fem,seks,ti,,,
Natur og geografi,Hvilken sø er Finlands største?,100,Saimaa,Päijänne,Vänern,Mjøsa,,,
Natur og geografi,Hvilken sø har Danmarks største vandareal?,200,Arresø,Esrum Sø,Furesø,Mossø,,,
Natur og geografi,Hvilken naturlig sø er størst i Island?,300,Þingvallavatn,Mývatn,Jökulsárlón,Kleifarvatn,,,
Natur og geografi,Hvilken dansk landsdel er en halvø med landforbindelse til Tyskland?,400,Jylland,Sjælland,Fyn,Bornholm,,,
Natur og geografi,Hvilke to lande forbindes af Øresundsbroen?,500,Danmark og Sverige,Danmark og Norge,Sverige og Finland,Norge og Sverige,,,
Natur og geografi,Hvilke to danske øer forbindes af Storebæltsforbindelsen?,600,Fyn og Sjælland,Sjælland og Bornholm,Fyn og Langeland,Als og Fyn,,,
Natur og geografi,Hvilke arktiske øområder hører til Norge?,700,Svalbard og Jan Mayen,Færøerne og Grønland,Åland og Gotland,Island og Svalbard,,,
Natur og geografi,I hvilket ocean ligger Island?,800,Nordatlanten,Det Indiske Ocean,Stillehavet,Sydatlanten,,,
Sprog og kultur,Hvordan er farverne placeret på Finlands flag?,100,hvidt med blåt kors,blåt med gult kors,rødt med hvidt kors,hvidt med rødt kors,,,
Sprog og kultur,Hvilken farvekombination har Norges korsflag?,200,rødt med blåt kors kantet med hvidt,blåt med gult kors,hvidt med blåt kors,rødt med grønt kors,,,
Sprog og kultur,Hvordan er Islands korsflag farvelagt?,300,blåt med rødt kors kantet med hvidt,rødt med blåt kors kantet med hvidt,hvidt med blåt kors,blåt med gult kors,,,
Sprog og kultur,Hvad hedder Færøernes flag?,400,Merkið,Dannebrog,Tingakrossur,Sólmerkið,,,
Sprog og kultur,Hvilket nordisk områdes flag har en rød og hvid cirkel i stedet for et kors?,500,Grønland,Åland,Færøerne,Island,,,
Sprog og kultur,"Hvilket oprindeligt folk lever på tværs af de nordlige dele af Norge, Sverige og Finland?",600,samerne,inuitterne,friserne,sorbene,,,
Sprog og kultur,"Hvad hedder Finlands nationalepos, som Elias Lönnrot sammenstillede?",700,Kalevala,Edda,Heimskringla,Landnámabók,,,
Historie og samarbejde,Hvilket år fik Grønland udvidet selvstyre med Selvstyreloven?,100,2009,1973,1979,1985,,,
Historie og samarbejde,Hvilket år fik Færøerne hjemmestyre?,200,1948,1922,1979,2009,,,
Historie og samarbejde,Hvilket år forlod Grønland EF?,300,1985,1973,1995,2009,,,
Historie og samarbejde,I hvilket år blev Kalmarunionen dannet?,400,1397,1066,1523,1814,,,
Historie og samarbejde,Hvilken dansk dronning var den samlende skikkelse bag Kalmarunionen?,500,Margrete 1.,Margrethe 2.,Kristina af Sverige,Dronning Thyra,,,
Historie og samarbejde,Hvilket nordisk land blev selvstændigt fra Sverige i 1905?,600,Norge,Finland,Island,Danmark,,,
Historie og samarbejde,Hvilken nordisk pris blev første gang uddelt i 1962 for et litterært værk?,700,Nordisk Råds litteraturpris,Nobelprisen i litteratur,Augustprisen,Finlandiaprisen,,,
