Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar
Ord og udtryk,Hvad betyder det tyske ord eller udtryk ‘müde’?,100,træt,glad,vred,overrasket,,,
Ord og udtryk,Hvad betyder det tyske ord eller udtryk ‘wütend’?,200,vred,glad,træt,overrasket,,,
Ord og udtryk,Hvad betyder det tyske ord eller udtryk ‘überrascht’?,300,overrasket,glad,træt,vred,,,
Ord og udtryk,Hvad betyder det tyske ord eller udtryk ‘Bahnhof’?,400,banegård,rådhus,bageri,bibliotek,,,
Ord og udtryk,Hvad betyder det tyske ord eller udtryk ‘Rathaus’?,500,rådhus,banegård,bageri,bibliotek,,,
Ord og udtryk,Hvad betyder det tyske ord eller udtryk ‘Bäckerei’?,600,bageri,banegård,rådhus,bibliotek,,,
Ord og udtryk,Hvad betyder det tyske ord eller udtryk ‘Bibliothek’?,700,bibliotek,banegård,rådhus,bageri,,,
Ord og udtryk,Hvad betyder det tyske udtryk “Tomaten auf den Augen haben”?,800,ikke at få øje på noget åbenlyst,at være meget sulten,at dyrke grøntsager,at være rød i ansigtet,,,
Grammatik og udtale,"I tysk standardretskrivning i Tyskland og Østrig, hvilket ord bruger ß korrekt efter en lang vokal?",100,Straße,Strasse som eneste tilladte form,Hauß,Waßer,,,
Grammatik og udtale,"Hvad markerer prikkerne i ä, ö og ü?",200,omlyd,tryk på sidste stavelse,stumt bogstav,flertalsendelse alene,,,
Grammatik og udtale,Hvilket ord passer: “Ich habe ___ Auto”?,300,kein,nicht ein,keine,keinen,,,
Grammatik og udtale,Hvilken kasus styrer præpositionen “mit”?,400,dativ,akkusativ,genitiv alene,nominativ,,,
Grammatik og udtale,Hvilken kasus kræver verbet “helfen” normalt?,500,dativ,akkusativ,nominativ,genitiv,,,
Grammatik og udtale,Hvad er korrekt futurum: “Ich ___ morgen lernen”?,600,werde,würde,bin,habe,,,
Grammatik og udtale,Hvilken formulering udtrykker en tænkt mulighed?,700,Ich würde gehen.,Ich werde gegangen.,Ich bin gehen.,Ich habe gehe.,,,
Grammatik og udtale,Hvilket pronomen bruges som høflig tiltale og skrives med stort?,800,Sie,du,ihr,sie,,,
Kunst og kultur,I hvilken by forbindes begivenheden Salzburger Festspiele især med?,100,Salzburg,München,Berlin,Wien,,,
Kunst og kultur,I hvilken by forbindes begivenheden Wienerfilharmonikernes nytårskoncert især med?,200,Wien,München,Berlin,Salzburg,,,
Kunst og kultur,I hvilken by eller hvilket land ligger Goethe-Instituttets hovedsæde?,300,München,Leipzig og Frankfurt am Main,Wien,Bern,,,
Kunst og kultur,I hvilken by eller hvilket land ligger Deutsche Nationalbibliotheks to hovedafdelinger?,400,Leipzig og Frankfurt am Main,München,Wien,Bern,,,
Kunst og kultur,I hvilken by eller hvilket land ligger Kunsthistorisches Museum?,500,Wien,München,Leipzig og Frankfurt am Main,Bern,,,
Kunst og kultur,I hvilken by eller hvilket land ligger Zentrum Paul Klee?,600,Bern,München,Leipzig og Frankfurt am Main,Wien,,,
Kunst og kultur,Ved hvilken bogmesse uddeles Deutscher Buchpreis?,700,Frankfurter Buchmesse,Leipziger Buchmesse,Wiener Buchmesse,Basler Buchmesse,,,
Den tysktalende verden,I hvilket år fandt Berlinmurens fald sted?,100,1989,1990,1848,1955,,,
Den tysktalende verden,I hvilket år fandt Schweiz’ overgang til moderne forbundsstat sted?,200,1848,1990,1989,1955,,,
Den tysktalende verden,I hvilket år fandt underskrivelsen af den østrigske statstraktat sted?,300,1955,1990,1989,1848,,,
Den tysktalende verden,I hvilken by har Deutscher Bundestag sit sæde?,400,Berlin,Wien,Bern,Vaduz,,,
Den tysktalende verden,I hvilken by har Østrigs parlament sit sæde?,500,Wien,Berlin,Bern,Vaduz,,,
Den tysktalende verden,I hvilken by har Schweiz’ Forbundsforsamling sit sæde?,600,Bern,Berlin,Wien,Vaduz,,,
Den tysktalende verden,I hvilken by har Liechtensteins Landtag sit sæde?,700,Vaduz,Berlin,Wien,Bern,,,
