KortID;Billedfil;Billedsti;Forside;English;Dansk;OrderFromSun;Type;Hint;Bagside
SP01;01_mercury.png;navneleg-demo/planets/photos/01_mercury.png;Merkur;Mercury;Merkur;1;Planet;Small and speedy.;Mercury · Planet
SP02;02_venus.png;navneleg-demo/planets/photos/02_venus.png;Venus;Venus;Venus;2;Planet;Greenhouse champion.;Venus · Planet
SP03;03_earth.png;navneleg-demo/planets/photos/03_earth.png;Jorden;Earth;Jorden;3;Planet;Currently occupied.;Earth · Planet
SP04;04_mars.png;navneleg-demo/planets/photos/04_mars.png;Mars;Mars;Mars;4;Planet;Red dust enthusiast.;Mars · Planet
SP05;05_jupiter.png;navneleg-demo/planets/photos/05_jupiter.png;Jupiter;Jupiter;Jupiter;5;Planet;Big storm, bigger personality.;Jupiter · Planet
SP06;06_saturn.png;navneleg-demo/planets/photos/06_saturn.png;Saturn;Saturn;Saturn;6;Planet;Clearly accessorized.;Saturn · Planet
SP07;07_uranus.png;navneleg-demo/planets/photos/07_uranus.png;Uranus;Uranus;Uranus;7;Planet;Rolls sideways through life.;Uranus · Planet
SP08;08_neptune.png;navneleg-demo/planets/photos/08_neptune.png;Neptun;Neptune;Neptun;8;Planet;Windy blue mystery.;Neptune · Planet
SP09;09_the_moon.png;navneleg-demo/planets/photos/09_the_moon.png;Månen;The Moon;Månen;;Moon;Night shift reflector.;The Moon · Moon
SP10;10_the_sun.png;navneleg-demo/planets/photos/10_the_sun.png;Solen;The Sun;Solen;;Star;Classroom lamp, solar edition.;The Sun · Star
SP11;11_pluto.png;navneleg-demo/planets/photos/11_pluto.png;Pluto;Pluto;Pluto;9;Dwarf planet;Still invited to demo parties.;Pluto · Dwarf planet
SP12;12_ceres.png;navneleg-demo/planets/photos/12_ceres.png;Ceres;Ceres;Ceres;;Dwarf planet;Small, round, and responsible.;Ceres · Dwarf planet
