Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar
Ord og vendinger,Hvad betyder det engelske ord eller udtryk ‘stubborn’?,100,stædig,lettet,flov,nysgerrig,,,
Ord og vendinger,Hvad betyder det engelske ord eller udtryk ‘curious’?,200,nysgerrig,lettet,flov,stædig,,,
Ord og vendinger,Hvad betyder det engelske ord eller udtryk ‘ceiling’?,300,loft,gulv,skuffe,hylde,,,
Ord og vendinger,Hvad betyder det engelske ord eller udtryk ‘floor’?,400,gulv,loft,skuffe,hylde,,,
Ord og vendinger,Hvad betyder det engelske ord eller udtryk ‘drawer’?,500,skuffe,loft,gulv,hylde,,,
Ord og vendinger,Hvad betyder det engelske ord eller udtryk ‘shelf’?,600,hylde,loft,gulv,skuffe,,,
Ord og vendinger,Hvad betyder det engelske ord eller udtryk ‘departure’?,700,afgang,ankomst,bagage,billetpris,,,
Grammatik og udtale,Hvilken form betyder “dens” uden apostrof?,100,its,it's,its’,it is’,,,
Grammatik og udtale,Hvilken form betyder “de er”?,200,they're,their,there,theirs,,,
Grammatik og udtale,Hvilket ord passer: “How ___ books did you buy?”,300,many,much,little,less,,,
Grammatik og udtale,Hvilket ord passer: “There is very ___ water left”?,400,little,few,many,fewer,,,
Grammatik og udtale,Hvilket ord passer: “I have known her ___ 2019”?,500,since,for,during,from,,,
Grammatik og udtale,Hvilken datoorden er mest almindelig i britisk engelsk?,600,dag–måned–år,måned–dag–år,år–dag–måned,måned–år–dag,,,
Litteratur og kultur,Hvilken kunstner eller gruppe forbindes med albummet “Sgt. Pepper’s Lonely Hearts Club Band”?,100,The Beatles,David Bowie,Adele,Amy Winehouse,,,
Litteratur og kultur,Hvilken kunstner eller gruppe forbindes med figuren Ziggy Stardust?,200,David Bowie,The Beatles,Adele,Amy Winehouse,,,
Litteratur og kultur,Hvilken kunstner eller gruppe forbindes med sangen “Rolling in the Deep”?,300,Adele,The Beatles,David Bowie,Amy Winehouse,,,
Litteratur og kultur,Hvilken kunstner eller gruppe forbindes med albummet “Back to Black”?,400,Amy Winehouse,The Beatles,David Bowie,Adele,,,
Litteratur og kultur,Hvor forbindes traditionen eller begivenheden Burns Night især med?,500,Skotland,Dublin,Storbritannien,Louisiana,,,
Litteratur og kultur,Hvor forbindes traditionen eller begivenheden Bloomsday især med?,600,Dublin,Skotland,Storbritannien,Louisiana,,,
Den engelsktalende verden,I hvilken by eller hvilket område ligger Uluru?,100,Northern Territory,New York,Wiltshire,Toronto,,,
Den engelsktalende verden,Hvilket rige hører Wales til?,200,Storbritannien,Irland,Canada,Australien,,,
Den engelsktalende verden,Hvilket rige hører Northern Ireland til?,300,Storbritannien,Irland,New Zealand,Canada,,,
Den engelsktalende verden,Hvilket land hører Queensland til?,400,Australien,Canada,New Zealand,Sydafrika,,,
Den engelsktalende verden,Hvilket land hører Nova Scotia til?,500,Canada,Australien,Irland,Storbritannien,,,
Den engelsktalende verden,I hvilket år fandt beseglingen af Magna Carta sted?,600,1215,1776,1840,1867,,,
