Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar
Skibe og rejser,Hvilken egenskab gjorde det muligt for mange vikingeskibe at sejle op ad floder og tæt ind til strande?,100,lav dybgang,meget dyb køl,høj overbygning,fast ballast af sten,,,
Skibe og rejser,Hvad var Skuldelev 1 hovedsageligt bygget til?,200,et havgående fragtskib,et lille krigsskib,en fiskerkano,et ceremonisk flodskib,,,
Skibe og rejser,Hvordan klassificeres det cirka 30 meter lange Skuldelev 2?,300,et stort langskib,et kysthandelsskib,en færge,et fiskeskib,,,
Skibe og rejser,I hvilket område blev Skuldelev 2 bygget?,400,Dublinområdet,Roskildeområdet,Oslofjorden,Island,,,
Skibe og rejser,Hvilken funktion havde kystfareren Skuldelev 3?,500,et mindre handelsskib til kystfart,et stort havgående krigsskib,et fladt færgeskib,et kongeligt gravskib,,,
Hverdag og handel,"Hvilke fund viser, at stof ofte blev vævet på opretstående væve?",100,vævevægte,skjoldbuler,møntstempler,ankersten,,,
Hverdag og handel,Hvilken håndværker fremstillede og reparerede redskaber og våben af jern?,200,smeden,skjalden,lovsigemanden,trællen,,,
Hverdag og handel,Hvilket materiale blev mange kamme fremstillet af?,300,ben eller gevir,glas,marmor,porcelæn,,,
Hverdag og handel,"Hvad kaldes ituhugget sølv, der blev brugt efter vægt som betaling?",400,hakkesølv,brakteater,ravperler,jernbarrer,,,
Hverdag og handel,Hvilke islamiske sølvmønter findes i stort antal i skandinaviske vikingetidsfund?,500,dirhemer,denarer fra USA,dukater,pesos,,,
"Tro, runer og kunst",Hvad hedder regnbuebroen mellem gudernes og menneskenes verden?,100,Bifröst,Gjallarhorn,Yggdrasil,Mjølner,,,
"Tro, runer og kunst",Hvad hedder Odins hal for udvalgte faldne krigere?,200,Valhal,Folkvang,Helheim,Utgård,,,
"Tro, runer og kunst","Hvad kaldes de kvindelige væsener, der udvælger faldne krigere?",300,valkyrier,norger,diser,jætter,,,
"Tro, runer og kunst",Hvad kaldes verdens undergang og fornyelse i nordisk mytologi?,400,Ragnarök,blot,sejd,fimbulting,,,
"Tro, runer og kunst","Hvor mange tegn havde den yngre futhark, som blev brugt i vikingetiden?",500,16,12,24,32,,,
"Konger, steder og begivenheder",I hvilket år ankom Den Store Hedenske Hær til England?,100,865,793,911,1066,,,
"Konger, steder og begivenheder",Hvilket slag i 878 blev afgørende for Alfred den Stores sejr over Guthrum?,200,slaget ved Edington,slaget ved Hastings,slaget ved Maldon,slaget ved Stamford Bridge,,,
"Konger, steder og begivenheder",Hvilket slag i september 1066 regnes ofte som afslutningen på den norske vikingehær i England?,300,slaget ved Stamford Bridge,slaget ved Hastings,slaget ved Brunanburh,slaget ved Clontarf,,,
"Konger, steder og begivenheder","Hvad kaldes området i England, hvor dansk lov og indflydelse prægede store dele af samfundet?",400,Danelagen,Normandiet,Mercia,Wessex,,,
"Konger, steder og begivenheder","Hvilken vikingeleder fik i 911 et område i Frankrig, der blev kernen i Normandiet?",500,Rollo,Guthrum,Ivar Benløs,Harald Hårderåde,,,
