Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar
"Konger, krige og demokrati",På hvilken dato lød befrielsesbudskabet over BBC til Danmark i 1945?,100,4. maj,5. maj,9. april,29. august,,,
"Konger, krige og demokrati",Hvem blev Danmarks første kvindelige minister i 1924?,200,Nina Bang,Bodil Koch,Lis Groes,Ingrid Jespersen,,,
"Konger, krige og demokrati",Hvilket år forbindes systemskiftet med parlamentarismens gennembrud i Danmark?,300,1901,1849,1915,1953,,,
"Konger, krige og demokrati",Hvilket år fik danske kvinder valgret til Folketinget?,400,1915,1901,1920,1953,,,
"Byer, øer og landskaber",Hvad hedder Danmarks højeste naturlige punkt?,100,Møllehøj,Himmelbjerget,Yding Skovhøj,Ejer Bavnehøj,,,
"Byer, øer og landskaber",Hvad hedder Danmarks længste vandløb?,200,Gudenåen,Skjern Å,Susåen,Storå,,,
"Byer, øer og landskaber",Hvad hedder Danmarks største sø målt efter areal?,300,Arresø,Esrum Sø,Mossø,Furesø,,,
"Byer, øer og landskaber",Hvilken større nordjysk by ligger ved Limfjorden?,400,Aalborg,Viborg,Herning,Silkeborg,,,
Oldtid og middelalder,Hvilket moselig blev fundet ved Grauballe nær Aarhus i 1952?,100,Grauballemanden,Tollundmanden,Rendswührenmanden,Bockstenmanden,,,
Oldtid og middelalder,Hvilket sølvkar fra jernalderen blev fundet i en mose ved Gundestrup i Himmerland?,200,Gundestrupkedlen,Himlingøjebægeret,Jellingbægeret,Hobybægrene,,,
Oldtid og middelalder,Hvilket par oldtidsfund fra Gallehus bar blandt andet en tidlig runeindskrift?,300,Guldhornene,Viksøhjelmene,Lurerne,Dejbjergvognene,,,
Oldtid og middelalder,Hvilken konge lod den store Jellingsten rejse?,400,Harald Blåtand,Gorm den Gamle,Svend Tveskæg,Knud den Store,,,
Kulturhistorie og samfund,Hvilken tænker forbindes stærkt med idégrundlaget for den danske folkehøjskole?,100,N.F.S. Grundtvig,Søren Kierkegaard,Georg Brandes,Ludvig Holberg,,,
Kulturhistorie og samfund,Hvilken skolemand omsatte mange af Grundtvigs tanker i praktisk højskole- og friskolearbejde?,200,Christen Kold,Johan Borup,Jørgen Bukdahl,Poul la Cour,,,
Kulturhistorie og samfund,"Hvad kaldes virksomhedsformen, hvor medlemmerne ejer og driver en virksomhed i fællesskab?",300,andelsselskab,aktieselskab,statsvirksomhed,enkeltmandsfirma,,,
