Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar
Ord og udtryk,Hvad betyder det spanske ord eller udtryk ‘gracias’?,100,tak,hej,farvel,vær venlig,,,
Ord og udtryk,Hvad betyder det spanske ord eller udtryk ‘por favor’?,200,vær venlig,hej,farvel,tak,,,
Ord og udtryk,Hvad betyder det spanske ord eller udtryk ‘casa’?,300,hus,vindue,dør,tag eller loft,,,
Grammatik og udtale,Hvilken bestemt artikel passer til “mano” i ental?,100,la,el,lo,un,,,
Grammatik og udtale,"Hvilken artikel bruges normalt foran “agua” i ental, når ordet står alene?",200,el,la,los,una,,,
Grammatik og udtale,Hvad er den korrekte flertalsform af “lápiz”?,300,lápices,lápizs,lápizes,lápiz,,,
Kunst og kultur,Hvem skrev værket “Cien años de soledad”?,100,Gabriel García Márquez,Miguel de Cervantes,Federico García Lorca,Jorge Luis Borges,,,
Kunst og kultur,Hvem skrev værket “Bodas de sangre”?,200,Federico García Lorca,Miguel de Cervantes,Gabriel García Márquez,Jorge Luis Borges,,,
Den spansktalende verden,Hvad er hovedstaden i Mexico?,100,Mexico City,Madrid,Buenos Aires,Bogotá,,,
Den spansktalende verden,Hvad er hovedstaden i Argentina?,200,Buenos Aires,Madrid,Mexico City,Bogotá,,,
