Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar
Celler og krop,Hvilket organ pumper blod gennem kredsløbet?,100,hjertet,leveren,milten,bugspytkirtlen,,,
Celler og krop,Hvilke organer filtrerer blodet og danner urin?,200,nyrerne,lungerne,tarmene,skjoldbruskkirtlerne,,,
Celler og krop,Hvilket organ producerer galde?,300,leveren,galdeblæren,mavesækken,nyren,,,
Celler og krop,Hvor optages størstedelen af næringsstofferne fra fordøjelsen?,400,i tyndtarmen,i mavesækken,i spiserøret,i tyktarmen,,,
Celler og krop,Hvilke blodbestanddele spiller en central rolle i koagulation?,500,blodplader,røde blodlegemer,lymfekar,nerveceller,,,
Celler og krop,I hvilke små lungestrukturer foregår hovedparten af gasudvekslingen?,600,alveolerne,bronkierne,mellemgulvet,strubehovedet,,,
Celler og krop,Hvilket hormon sænker normalt blodets glukosekoncentration?,700,insulin,adrenalin,thyroxin,melatonin,,,
Arv og evolution,Hvilken munk er kendt for arvelighedsforsøg med ærteplanter?,100,Gregor Mendel,Charles Lyell,Robert Hooke,Louis Pasteur,,,
Arv og evolution,Hvilken proces beskrev Darwin og Wallace som en vigtig mekanisme i evolution?,200,naturlig selektion,kunstig respiration,spontan generation,geologisk erosion,,,
Arv og evolution,Hvad er en mutation?,300,en ændring i arvematerialets sekvens eller struktur,en normal celledeling uden ændring,en ændring i vejret,en midlertidig muskelsammentrækning,,,
Arv og evolution,Hvad er en organismes fænotype?,400,dens observerbare egenskaber,dens DNA-sekvens alene,dens antal mutationer alene,dens placering i et økosystem,,,
Arv og evolution,Hvad er en organismes genotype?,500,dens genetiske sammensætning for de betragtede gener,dens synlige miljø alene,dens samlede fødeindtag,dens alder i generationer,,,
Arv og evolution,Hvad er en biologisk tilpasning?,600,"en arvelig egenskab, der øger succes i et bestemt miljø",enhver ændring et individ vælger i løbet af livet,et tilfældigt vejrfænomen,en sygdom uden arvelig betydning,,,
Planter og svampe,Hvad kræver de fleste frø som minimum for at spire?,100,"vand, ilt og passende temperatur","stærkt lys, salt og frost",kuldioxid uden vand,jord som et absolut krav,,,
Planter og svampe,Hvilken plantedel udvikles normalt til frugten efter befrugtning?,200,frugtknuden,støvknappen,bægerbladet,rodhætten,,,
Planter og svampe,Hvad er befrugtning hos blomsterplanter?,300,sammensmeltning af hanlig og hunlig kønscelle,overførsel af pollen til støvfang,udvikling af rodhår,fordampning fra bladet,,,
Planter og svampe,Hvilken plantegruppe danner frø i kogler?,400,nøgenfrøede planter,bregner,mosser,alger,,,
Planter og svampe,"Hvilken plantegruppe formerer sig med sporer og har karvæv, men ingen frø?",500,bregner,nåletræer,blomsterplanter,lav,,,
Planter og svampe,Hvilken plantegruppe mangler egentlige rødder og karvæv?,600,mosser,bregner,græsser,nåletræer,,,
Økologi og dyr,Hvilken dyregruppe har fjer?,100,fugle,pattedyr,krybdyr,padder,,,
Økologi og dyr,Hvor mange ben har et voksent insekt?,200,6,4,8,10,,,
Økologi og dyr,Hvilken dyregruppe har hår og producerer mælk til ungerne?,300,pattedyr,fugle,fisk,insekter,,,
Økologi og dyr,Hvilken dyregruppe har typisk tør hud med skæl af keratin?,400,krybdyr,padder,bløddyr,ledorme,,,
Økologi og dyr,Hvilken hvirveldyrgruppe gennemgår ofte forvandling fra vandlevende larve til landlevende voksen?,500,padder,krybdyr,fugle,pattedyr,,,
Økologi og dyr,Hvad kaldes den gradvise ændring i artssammensætning efter en forstyrrelse?,600,økologisk succession,genetisk translation,homeostase,bestøvning,,,
