Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar
Grækenland og Rom,Hvad hedder Zeus i den romerske gudeverden?,100,Jupiter,Saturn,Mars,Neptun,,,
Grækenland og Rom,Hvad hedder Hera i den romerske gudeverden?,200,Juno,Diana,Minerva,Ceres,,,
Grækenland og Rom,Hvad hedder Poseidon i den romerske gudeverden?,300,Neptun,Merkur,Vulkan,Janus,,,
Grækenland og Rom,Hvad hedder Ares i den romerske gudeverden?,400,Mars,Apollo,Pluto,Bacchus,,,
Grækenland og Rom,Hvad hedder Afrodite i den romerske gudeverden?,500,Venus,Vesta,Juno,Diana,,,
Grækenland og Rom,Hvad hedder Hermes i den romerske gudeverden?,600,Merkur,Janus,Vulkan,Saturn,,,
Grækenland og Rom,Hvad hedder Athene i den romerske gudeverden?,700,Minerva,Ceres,Juno,Vesta,,,
Egyptens gudeverden,Hvilken gudinde er søster til Isis og Osiris og ledsager ofte døderitualer?,100,Nephthys,Nut,Seshat,Mut,,,
Egyptens gudeverden,"Hvilken gudinde personificerer sandhed, retfærdighed og kosmisk orden?",200,Maat,Isis,Hathor,Sekhmet,,,
Egyptens gudeverden,Hvad vejes den dødes hjerte imod i domsscenen fra Dødebogen?,300,Maats fjer,en guldmønt,en skarabæ,Osiris’ scepter,,,
Egyptens gudeverden,"Hvilket væsen fortærer hjertet, hvis den døde ikke består dommen?",400,Ammit,Apophis,Bes,Serket,,,
Egyptens gudeverden,Hvad er Duat i egyptisk religion?,500,dødsriget og solgudens natlige verden,et tempel ved Nilen,en type krone,et helligt bjerg,,,
Egyptens gudeverden,Hvilken skarabæformet gud forbindes med morgensolen og fornyelse?,600,Khepri,Khonsu,Montu,Atum,,,
Mesopotamien og Nærorienten,Hvem personificerer det oprindelige ferskvand i Enuma Elish?,100,Apsu,Tiamat,Anshar,Kingu,,,
Mesopotamien og Nærorienten,"Hvad hedder Gilgameshs vilde ven, der skabes som hans modstykke?",200,Enkidu,Humbaba,Utnapishtim,Lugalbanda,,,
Mesopotamien og Nærorienten,Hvem vogter Cederskoven i Gilgamesh-eposset?,300,Humbaba,Kingu,Pazuzu,Anzu,,,
Mesopotamien og Nærorienten,Hvem overlever den store oversvømmelse i Gilgamesh-eposset?,400,Utnapishtim,Etana,Adapa,Sargon,,,
Mesopotamien og Nærorienten,"Hvad hedder det babylonske skabelsesepos, hvor Marduk besejrer Tiamat?",500,Enuma Elish,Atrahasis,Erra-eposset,Nergal og Ereshkigal,,,
Mesopotamien og Nærorienten,Hvad er en ziggurat?,600,en trinformet tempelplatform,en kongelig gravmaske,en bronzeklinge,en type lertavle,,,
Myter fra andre kulturer,Hvilket guddommeligt par skaber ifølge Kojiki de japanske øer?,100,Izanagi og Izanami,Amaterasu og Susanoo,Raijin og Fujin,Hachiman og Inari,,,
Myter fra andre kulturer,Hvilken aztekisk gud forbindes med sol og krig og var særlig vigtig i Tenochtitlan?,200,Huitzilopochtli,Tlaloc,Xipe Totec,Mictlantecuhtli,,,
Myter fra andre kulturer,Hvilken aztekisk gud forbindes med regn?,300,Tlaloc,Quetzalcoatl,Tonatiuh,Xolotl,,,
Myter fra andre kulturer,Hvilken aztekisk gud hersker over de dødes rige Mictlan?,400,Mictlantecuhtli,Tezcatlipoca,Tlaloc,Xiuhtecuhtli,,,
Myter fra andre kulturer,Hvilken maya-gud forbindes med regn og lyn?,500,Chaac,Itzamna,Ah Puch,Kinich Ahau,,,
Myter fra andre kulturer,Hvad hedder mayaernes heltebrødre i Popol Vuh samlet?,600,Heltetvillingerne,Solbrødrene,Jaguarkongerne,Maisvogterne,,,
