Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar
Instruktører og film,Hvem instruerede “Blade Runner” fra 1982?,100,Ridley Scott,Tony Scott,James Cameron,Paul Verhoeven,,,
Instruktører og film,Hvem instruerede “Back to the Future” fra 1985?,200,Robert Zemeckis,John Hughes,Joe Dante,Ivan Reitman,,,
Instruktører og film,Hvem instruerede “Do the Right Thing” fra 1989?,300,Spike Lee,John Singleton,Barry Levinson,Oliver Stone,,,
Roller og skuespillere,Hvem spiller Marty McFly i “Back to the Future”?,100,Michael J. Fox,Matthew Broderick,Emilio Estevez,C. Thomas Howell,,,
Roller og skuespillere,Hvem spiller Ellen Ripley i “Aliens”?,200,Sigourney Weaver,Linda Hamilton,Jamie Lee Curtis,Geena Davis,,,
Roller og skuespillere,Hvem spiller politibetjenten Axel Foley i “Beverly Hills Cop”?,300,Eddie Murphy,Richard Pryor,Danny Glover,Carl Weathers,,,
Oscarvindere,Hvilken film fra 1981 vandt Oscar for bedste film?,100,Chariots of Fire,Raiders of the Lost Ark,Reds,On Golden Pond,,,
Oscarvindere,Hvilken film fra 1982 vandt Oscar for bedste film?,200,Gandhi,E.T. the Extra-Terrestrial,Tootsie,The Verdict,,,
"Musik, teknik og filmhistorie",Hvem komponerede den elektroniske musik til “Chariots of Fire”?,100,Vangelis,Giorgio Moroder,Tangerine Dream,Jean-Michel Jarre,,,
"Musik, teknik og filmhistorie",Hvilket band indspillede “Eye of the Tiger” til “Rocky III”?,200,Survivor,Journey,Foreigner,REO Speedwagon,,,
