Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar
Byer og kendte steder,Hvilken by er centrum på Mors og ligger ved Sallingsund?,100,Nykøbing Mors,Thisted,Skive,Løgstør,,,
Byer og kendte steder,Hvilken nordvestjysk by ligger nær Nationalpark Thy?,200,Thisted,Hjørring,Aalborg,Viborg,,,
Byer og kendte steder,Hvilken by ved Limfjorden er kendt for Jesperhus Blomsterpark på Mors?,300,Nykøbing Mors,Skive,Lemvig,Hobro,,,
Byer og kendte steder,Hvilken by har frilandsmuseet Den Gamle By?,400,Aarhus,Aalborg,Ribe,Kolding,,,
Byer og kendte steder,Hvilken by er LEGO-koncernens oprindelsessted og hjemsted for LEGOLAND?,500,Billund,Vejle,Herning,Kolding,,,
Byer og kendte steder,Hvilken lille by er kendt for Jellingmonumenterne med gravhøje og runesten?,600,Jelling,Vejen,Brande,Skjern,,,
Byer og kendte steder,Hvilken sønderjysk by er kendt for sin brede hovedgade og det historiske Brundlund Slot?,700,Aabenraa,Haderslev,Tønder,Sønderborg,,,
Byer og kendte steder,Hvilken by nær den dansk-tyske grænse er kendt for Tønder Festival?,800,Tønder,Ribe,Aabenraa,Haderslev,,,
Landskab og farvande,Hvilken å markerede dele af den dansk-tyske grænse fra 1864 til 1920?,100,Kongeåen,Gudenåen,Skjern Å,Vidåen,,,
Landskab og farvande,Hvad hedder Danmarks vestligste punkt?,200,Blåvandshuk,Grenen,Gedser Odde,Dueodde,,,
Landskab og farvande,Hvilket næs ved Grenen er Danmarks nordligste punkt på fastlandet?,300,Skagens Odde,Helgenæs,Hindsholm,Sletterhage,,,
Landskab og farvande,Hvilket landskab omkring Silkeborg er kendt som Søhøjlandet?,400,det midtjyske sø- og højdedrag,den sønderjyske marsk,den vestjyske klithede,den nordjyske kalkslette,,,
Landskab og farvande,"Hvilken geologisk proces har især formet de tunneldale, som flere østjyske fjorde følger?",500,istidens smeltevand,vulkanudbrud,koralvækst,ørvegravning,,,
Landskab og farvande,Hvilken jordtype er typisk for store dele af Vestjyllands hedesletter?,600,sandet smeltevandsjord,frugtbar kalkjord,vulkansk askejord,marine lerklinter,,,
Landskab og farvande,"Hvilket område omkring Tønder er præget af marsk, diger og kog?",700,den sønderjyske marsk,Himmerland,Salling,Djursland,,,
Landskab og farvande,Hvad hedder morænebakkerne syd for Viborg med udsigt over Hald Sø?,800,Dollerup Bakker,Rebild Bakker,Ejer Bjerge,Mols Bjerge,,,
Historie og arkæologi,Hvilken indledning har Jyske Lovs berømte første sætning?,100,Med lov skal land bygges,Frygt Gud og ær kongen,Enighed gør stærk,Ret skal være ret,,,
Historie og arkæologi,Hvilken arkæologisk båd fra førromersk jernalder blev fundet i en mose på Als?,200,Hjortspringbåden,Skuldelevskibet,Nydambåden,Ladbyskibet,,,
Historie og arkæologi,Hvilket stort jernalderfartøj blev fundet i Nydam Mose i Sønderjylland?,300,Nydambåden,Hjortspringbåden,Osebergskibet,Gokstadskibet,,,
Historie og arkæologi,Hvilket anlæg ved Vejle Ådal regnes som en vikingetidig træbro fra Harald Blåtands tid?,400,Ravningbroen,Den Gamle Lillebæltsbro,Hjejlebroen,Kongeåbroen,,,
Historie og arkæologi,Hvilken vestjysk landsby gav navn til to jernaldervogne fundet i en mose?,500,Dejbjerg,Gundestrup,Hjortspring,Illerup,,,
Historie og arkæologi,Hvilken offerplads nær Skanderborg har givet store våbenfund fra jernalderen?,600,Illerup Ådal,Alken Enge,Nydam Mose,Borremose,,,
Historie og arkæologi,Hvilket vådområde ved Mossø har spor efter en nedkæmpet hær fra omkring år 1?,700,Alken Enge,Illerup Ådal,Gundestrup Mose,Bølling Sø,,,
"Kultur, erhverv og forbindelser",Hvilket universitet blev oprettet i Aalborg i 1974?,100,Aalborg Universitet,Aarhus Universitet,Syddansk Universitet,IT-Universitetet,,,
"Kultur, erhverv og forbindelser",Hvilken nordjysk færgehavn ligger ved Skagerrak vest for Skagen?,200,Hirtshals,Grenaa,Ebeltoft,Esbjerg,,,
"Kultur, erhverv og forbindelser",Hvilken havn er et vigtigt dansk centrum for offshore-energi i Nordsøen?,300,Esbjerg Havn,Aarhus Havn,Aalborg Havn,Fredericia Havn,,,
"Kultur, erhverv og forbindelser",Hvilken bro fra 1935 forbinder Jylland og Fyn via den vestlige del af Lillebælt?,400,Den Gamle Lillebæltsbro,Den Nye Lillebæltsbro,Storebæltsbroen,Alssundbroen,,,
"Kultur, erhverv og forbindelser",Hvilken motorvejsbro fra 1970 forbinder Jylland og Fyn over Lillebælt?,500,Den Nye Lillebæltsbro,Den Gamle Lillebæltsbro,Vejlefjordbroen,Sallingsundbroen,,,
"Kultur, erhverv og forbindelser",Hvilken tunnel fører motorvej E45 under Limfjorden ved Aalborg?,600,Limfjordstunnelen,Drogdentunnelen,Storebæltstunnelen,Guldborgtunnelen,,,
"Kultur, erhverv og forbindelser","Hvad kaldes den danske dialektgruppe, der tales i størstedelen af Jylland?",700,jysk,østdansk,bornholmsk,østdanisk,,,
