Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar
"Fysik, måling og forskning",Hvilket år modtog Niels Bohr Nobelprisen i fysik?,100,1922,1903,1920,1997,,,
"Fysik, måling og forskning","Hvilken dansk seismolog foreslog, at Jorden har en fast indre kerne?",200,Inge Lehmann,Marie Hammer,Margrethe Bohr,Ellen Trotzig,,,
"Fysik, måling og forskning",Hvilket år offentliggjorde Inge Lehmann sin model af Jordens indre kerne?,300,1936,1913,1957,1979,,,
"Fysik, måling og forskning","Hvad hed Inge Lehmanns korte artikel om Jordens indre, udgivet i 1936?",400,P’,Atomets kerne,Om pH,Magnetiske bølger,,,
"Fysik, måling og forskning",Hvilken dansk forsker opdagede enzymet natrium-kalium-pumpen?,500,Jens Christian Skou,August Krogh,Henrik Dam,S.P.L. Sørensen,,,
"Fysik, måling og forskning",Hvilken Nobelpris modtog Jens Christian Skou i 1997 for sin forskning i natrium-kalium-pumpen?,600,Nobelprisen i kemi,Nobelprisen i fysik,Nobelprisen i fysiologi eller medicin,Nobels fredspris,,,
"Fysik, måling og forskning","Hvilken dansk biolog indførte ordene gen, genotype og fænotype i moderne genetik?",700,Wilhelm Johannsen,Niels Stensen,Peter Wilhelm Lund,Eugen Warming,,,
"Fysik, måling og forskning",Hvilket begrebspar bruges til at skelne mellem arveanlæg og observerbare egenskaber?,800,genotype og fænotype,atom og molekyle,syre og base,masse og vægt,,,
Medicin og bioteknologi,Hvilket dansk firma blev grundlagt i 1957 omkring produktionen af stomiposer?,100,Coloplast,Danfoss,Novo Nordisk,LEO Pharma,,,
Medicin og bioteknologi,Hvilken fabrikant satte Elise Sørensens stomipose i produktion?,200,Aage Louis-Hansen,Mads Clausen,Poul Due Jensen,Ole Kirk Christiansen,,,
Medicin og bioteknologi,Hvilket vitamin opdagede Henrik Dam?,300,vitamin K,vitamin C,vitamin D,vitamin B12,,,
Medicin og bioteknologi,Hvilken kropsfunktion er vitamin K særlig vigtig for?,400,blodets koagulation,øjnenes farvesyn,lungernes iltoptagelse,nervernes ledningshastighed,,,
Medicin og bioteknologi,Hvilket år modtog Henrik Dam Nobelprisen i fysiologi eller medicin?,500,1943,1920,1903,1997,,,
Medicin og bioteknologi,Hvilken amerikansk forsker delte Nobelprisen i 1943 med Henrik Dam?,600,Edward A. Doisy,Frederick Banting,Alexander Fleming,Robert Koch,,,
Medicin og bioteknologi,Hvilket lægemiddel mod blødninger hos hæmofilipatienter med inhibitorer forbindes med Ulla Hedners arbejde?,700,NovoSeven,NovoPen,Heparin LEO,NPH-insulin,,,
Medicin og bioteknologi,Hvilket år begyndte LEO Pharma at producere penicillin?,800,1945,1923,1957,1979,,,
"Industri, transport og hverdag",Hvad betyder den latinske del LUX i navnet VELUX?,100,lys,luft,tag,vindue,,,
"Industri, transport og hverdag",Hvilket år blev det tidlige VELUX-tagvindue patenteret?,200,1942,1932,1958,1973,,,
"Industri, transport og hverdag",Hvem var med til at grundlægge Nilfisk i 1906?,300,P.A. Fisker,Mads Clausen,Poul Due Jensen,Ole Kirk Christiansen,,,
"Industri, transport og hverdag",Hvilket husholdningsapparat lancerede Nilfisk som model C1 i 1910?,400,en elektrisk støvsuger,en opvaskemaskine,en brødrister,en symaskine,,,
"Industri, transport og hverdag",Hvilket år blev det danske dieselmotorskib Selandia søsat?,500,1912,1906,1925,1933,,,
"Industri, transport og hverdag",Hvilket københavnsk værft byggede Selandia?,600,Burmeister & Wain,Orlogsværftet,Nakskov Skibsværft,A.P. Møller Værftet,,,
"Industri, transport og hverdag",Hvad gjorde Selandia fra 1912 teknologihistorisk bemærkelsesværdig?,700,Det var et tidligt stort oceangående dieseldrevet skib,Det var verdens første atomdrevne skib,Det var det første skib af aluminium,Det var det første skib med radar,,,
"Lyd, leg og digitale idéer","Hvad hed det computerspil, som Unity-grundlæggerne oprindeligt udviklede?",100,GooBall,Hitman,Limbo,Subway Surfers,,,
"Lyd, leg og digitale idéer",Hvad er Unity først og fremmest?,200,en spilmotor og udviklingsplatform,et kortprogram,et tekstbehandlingsprogram,et operativsystem,,,
"Lyd, leg og digitale idéer",Hvilket firma udviklede forløberen til Google Maps?,300,Where 2 Technologies,Unity Technologies,Bang & Olufsen,Zendesk,,,
"Lyd, leg og digitale idéer",Hvilke danskfødte brødre var med til at skabe teknologien bag Google Maps?,400,Jens og Lars Rasmussen,Peter og Svend Olufsen,Ole og Godtfred Christiansen,August og Marie Krogh,,,
"Lyd, leg og digitale idéer",Hvilket selskab købte Where 2 Technologies i 2004?,500,Google,Microsoft,Apple,IBM,,,
"Lyd, leg og digitale idéer",Hvilket år blev Google Maps lanceret som webtjeneste?,600,2005,1998,2001,2010,,,
"Lyd, leg og digitale idéer",Hvilken central brugerfunktion gjorde den tidlige Google Maps-løsning særlig dynamisk?,700,Man kunne trække kortet glidende i browseren,Kortet blev kun leveret som en PDF,Kortet kunne kun vises uden stednavne,Ruter skulle bestilles med posten,,,
