Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar
Forfattere og værker,Hvem skrev romanen “Rødby-Puttgarden”?,100,Helle Helle,Kirsten Thorup,Dorrit Willumsen,Solvej Balle,,,
Forfattere og værker,Hvem skrev romanen “Frøken Smillas fornemmelse for sne”?,200,Peter Høeg,Jens Christian Grøndahl,Svend Åge Madsen,Ib Michael,,,
Forfattere og værker,Hvilken digter debuterede i 2013 med samlingen “YAHYA HASSAN”?,300,Yahya Hassan,Caspar Eric,Morten Nielsen,Michael Strunge,,,
Forfattere og værker,Hvem skrev børnebogen “Halfdans ABC”?,400,Halfdan Rasmussen,Benny Andersen,Ole Lund Kirkegaard,Flemming Quist Møller,,,
Forfattere og værker,Hvem skrev teksterne til “Svantes viser”?,500,Benny Andersen,Piet Hein,Halfdan Rasmussen,Poul Henningsen,,,
Forfattere og værker,Hvem skrev romanen “Vinterbørn”?,600,Dea Trier Mørch,Tove Ditlevsen,Kirsten Thorup,Vita Andersen,,,
Forfattere og værker,Hvem skrev bekendelsesbogen “Creme Fraiche”?,700,Suzanne Brøgger,Dorrit Willumsen,Herdis Møllehave,Vita Andersen,,,
Perioder og strømninger,Hvilken dansk prosaforfatter forbindes især med en impressionistisk fortællestil?,100,Herman Bang,Ludvig Holberg,Johannes Ewald,Hans Scherfig,,,
Perioder og strømninger,"Hvilken strømning omkring 1890-1910 brugte symboler, stemninger og metafysisk søgen?",200,symbolismen,naturalismen,nyrealismen,dokumentarismen,,,
Perioder og strømninger,"Hvilken strømning omkring 1900 hyldede ofte livskraft, krop og natur?",300,vitalismen,minimalismen,dadaismen,rokokoen,,,
Perioder og strømninger,Hvilken forfatter forbindes både med vitalisme og romanværket “Den lange rejse”?,400,Johannes V. Jensen,Herman Bang,Hans Kirk,Poul Henningsen,,,
Perioder og strømninger,Hvilken retning skildrede arbejderklassens vilkår og sociale konflikter i værker af blandt andre Martin Andersen Nexø?,500,social realisme,symbolisme,rokoko,nationalromantik,,,
Perioder og strømninger,"Hvad hed tidsskriftet, som gav navn til en kreds af efterkrigsforfattere omkring 1948-1953?",600,Heretica,Kritik,Taarnet,Hvedekorn,,,
"Figurer, former og genrer",Hvad hedder den gennemgående hovedfigur i “Kongens fald”?,100,Mikkel Thøgersen,Pelle Karlsson,Per Sidenius,Johannes Vorde,,,
"Figurer, former og genrer",Hvad kaldes et kort fortællende prosaværk med få personer og et koncentreret forløb?,200,novelle,epos,sonet,libretto,,,
"Figurer, former og genrer","Hvad kaldes en roman, der følger en hovedpersons udvikling og modning?",300,dannelsesroman,brevroman,kollektivroman,gotisk roman,,,
"Figurer, former og genrer","Hvad kaldes en roman, hvor en gruppe snarere end ét individ fungerer som centrum?",400,kollektivroman,nøgleroman,ridderroman,versroman,,,
"Figurer, former og genrer","Hvad kaldes en tekst, der latterliggør eller kritiserer gennem humor og overdrivelse?",500,satire,elegi,idyl,krønike,,,
"Figurer, former og genrer","Hvad kaldes en kort, reflekterende prosatekst, der undersøger et emne fra en personlig vinkel?",600,essay,epos,fabel,ballade,,,
"Priser, sprog og litteraturliv",Hvilken dansk forfatter vandt Nordisk Råds litteraturpris i 2019 for “Efter solen”?,100,Jonas Eika,Yahya Hassan,Theis Ørntoft,Caspar Eric,,,
"Priser, sprog og litteraturliv",Hvor mange bogstaver har det moderne danske alfabet?,200,29,26,28,30,,,
"Priser, sprog og litteraturliv",Hvilket bogstav blev officielt indført i dansk retskrivning ved reformen i 1948?,300,å,æ,ø,ü,,,
"Priser, sprog og litteraturliv",Hvilken anden stor ændring indførte retskrivningsreformen i 1948?,400,små begyndelsesbogstaver i almindelige navneord,fjernelse af bogstavet ø,obligatorisk dobbelt-a i alle ord,latinske kasusendelser,,,
"Priser, sprog og litteraturliv",Hvilken institution udgiver den officielle “Retskrivningsordbogen”?,500,Dansk Sprognævn,Det Danske Akademi,Det Kgl. Bibliotek,Kulturministeriet,,,
"Priser, sprog og litteraturliv",Hvilket år blev Dansk Sprognævn oprettet?,600,1955,1911,1948,1968,,,
