Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar
Kommunikation og medier,"Hvem udviklede det taktile skriftsystem, der bærer hans navn?",100,Louis Braille,Samuel Morse,Charles Barbier,Alexander Graham Bell,,,
Kommunikation og medier,Hvem udviklede det direkte fremkaldende Polaroid-kamera?,200,Edwin Land,George Eastman,Chester Carlson,Louis Daguerre,,,
Kommunikation og medier,Hvilken opfindelse fik Alexander Bain et britisk patent på i 1843?,300,en tidlig faxmaskine,en telefon,en grammofon,en skrivemaskine,,,
Kommunikation og medier,Hvem opfandt den tørre kopieringsproces xerografi?,400,Chester Carlson,Edwin Land,George Eastman,Gary Starkweather,,,
Kommunikation og medier,Hvem var en hovedskikkelse bag QWERTY-tastaturet på den tidlige skrivemaskine?,500,Christopher Latham Sholes,Elias Howe,Ottmar Mergenthaler,Herman Hollerith,,,
Kommunikation og medier,Hvem udviklede laserprinteren hos Xerox i slutningen af 1960’erne?,600,Gary Starkweather,Chester Carlson,Alan Kay,Ivan Sutherland,,,
Kommunikation og medier,Hvilke to opfindere fik i 1952 et centralt amerikansk patent på automatisk aflæsning af produktmærker?,700,Norman Joseph Woodland og Bernard Silver,Douglas Engelbart og Bill English,Jack Kilby og Robert Noyce,Vint Cerf og Bob Kahn,,,
Transport og maskiner,Hvilken produktionsteknik indførte Ford på Highland Park-fabrikken i 1913?,100,det bevægelige samlebånd,numerisk styrede robotter,3D-print af motorblokke,dampdrevet håndværksproduktion,,,
Transport og maskiner,Hvem patenterede cotton gin-maskinen i USA i 1794?,200,Eli Whitney,Cyrus McCormick,Joseph-Marie Jacquard,Samuel Colt,,,
Transport og maskiner,"Hvem forbindes med den mekaniske mejemaskine, som blev patenteret i USA i 1834?",300,Cyrus McCormick,Eli Whitney,John Deere,George Westinghouse,,,
Transport og maskiner,"Hvem byggede i 1817 den tohjulede løbemaskine, der kaldes draisinen?",400,Karl Drais,Pierre Michaux,John Boyd Dunlop,James Starley,,,
Transport og maskiner,Hvilken maskine brugte Joseph-Marie Jacquard hul-kort til at styre mønstre i?,500,væven,dampmaskinen,telegrafen,drejebænken,,,
Transport og maskiner,Hvilken cykelmodel fra John Kemp Starley i 1885 blev forbillede for den moderne sikkerhedscykel?,600,Rover Safety Bicycle,Penny-farthing,Draisine,Boneshaker,,,
Medicin og hverdag,"Hvem opfandt burrelukningen Velcro efter at have undersøgt burrer, der satte sig fast i tøj og pels?",100,George de Mestral,Gideon Sundback,László Bíró,King Camp Gillette,,,
Medicin og hverdag,"Hvem opdagede under radararbejde, at mikrobølger kunne opvarme mad, hvilket førte til mikrobølgeovnen?",200,Percy Spencer,John Bardeen,Robert Noyce,Chester Carlson,,,
Medicin og hverdag,Hvem udviklede den moderne kuglepen sammen med sin bror György?,300,László Bíró,Lewis Waterman,Gideon Sundback,George de Mestral,,,
Medicin og hverdag,Hvilke to 3M-medarbejdere forbindes med udviklingen af Post-it Notes?,400,Spencer Silver og Art Fry,Norman Woodland og Bernard Silver,Jack Kilby og Robert Noyce,Banting og Best,,,
Medicin og hverdag,Hvem udviklede en metode til konservering af mad i lufttætte beholdere omkring 1809?,500,Nicolas Appert,Louis Pasteur,Clarence Birdseye,Carl von Linde,,,
Medicin og hverdag,Hvem udviklede effektive industrielle kølemaskiner i 1870’erne?,600,Carl von Linde,James Watt,Willis Carrier,Nikolaus Otto,,,
Elektronik og computere,Hvem demonstrerede computermusen offentligt ved “The Mother of All Demos” i 1968?,100,Douglas Engelbart,Alan Kay,Ivan Sutherland,Robert Metcalfe,,,
Elektronik og computere,Hvilket lagringsmedie udviklede IBM og introducerede kommercielt i begyndelsen af 1970’erne?,200,disketten,compact disc,magnetbåndet,USB-nøglen,,,
Elektronik og computere,Hvem skabte programmeringssproget C på Bell Labs?,300,Dennis Ritchie,Ken Thompson,Bjarne Stroustrup,John Backus,,,
Elektronik og computere,Hvilke to forskere forbindes med udviklingen af TCP/IP-protokollerne?,400,Vint Cerf og Bob Kahn,Ken Thompson og Dennis Ritchie,Steve Jobs og Steve Wozniak,Jack Kilby og Robert Noyce,,,
Elektronik og computere,Hvem udviklede Ethernet på Xerox PARC i 1970’erne?,500,Robert Metcalfe,Vint Cerf,Douglas Engelbart,Tim Berners-Lee,,,
Elektronik og computere,Mellem hvilke to institutioner blev den første ARPANET-forbindelse etableret i 1969?,600,UCLA og Stanford Research Institute,MIT og Harvard,CERN og Oxford,Bell Labs og IBM,,,
