Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar
Historie og idégrundlag,Hvilket år blev den første særlige efterskolelov vedtaget?,100,1930,1849,1901,1975,,,
Historie og idégrundlag,Hvilket år fik efterskoler lov til at tilbyde enkelte af folkeskolens afgangsprøver?,200,1967,1930,1975,1994,,,
Historie og idégrundlag,Hvilket år fik efterskoler lov til at tilbyde alle folkeskolens afgangsprøver?,300,1975,1967,1982,2000,,,
Historie og idégrundlag,Hvad skete der med både elevtal og antal efterskoler omtrent fra 1975 til 2000?,400,de blev omtrent fordoblet,de blev halveret hvert år,de forsvandt helt,de blev fastlåst ved lov,,,
Historie og idégrundlag,Hvilken ændring i 1994 gjorde efterskoleophold økonomisk tilgængeligt for en bredere gruppe?,500,obligatorisk offentlig elevstøtte,afskaffelse af kost og logi,forbud mod skolepenge,gratis togdrift til alle skoler,,,
Skoleform og rammer,Hvilke tre fag er obligatoriske i en almindelig 10. klasse på efterskole?,100,"dansk, matematik og engelsk","latin, græsk og kemi","musik, idræt og billedkunst","tysk, fransk og spansk",,,
Skoleform og rammer,"Hvad er minimum for den ugentlige undervisningstid på efterskolekurser i 8., 9. og 10. klasse ifølge de gældende rammer?",200,21 timer eksklusive pauser,5 timer inklusive pauser,40 timer uden pauser,10 timer om måneden,,,
Skoleform og rammer,Hvad kan en efterskole vælge i forhold til folkeskolens prøver i 8. og 9. klasse?,300,at afholde prøver eller være prøvefri efter reglerne,at opfinde nationale eksamensbeviser,at afskaffe karakterer i hele Danmark,at lade eleverne rette hinandens officielle prøver,,,
Skoleform og rammer,Hvad skal en prøvefri efterskole tydeligt oplyse om?,400,at skolen ikke afholder folkeskolens prøver,at skolen ikke har undervisning,at eleverne ikke må læse,at skolen er kommunal,,,
Skoleform og rammer,Hvordan kan en elev fra en prøvefri efterskole eventuelt aflægge folkeskolens prøver?,500,som privatist efter reglerne,kun som universitetsstuderende,ved at stemme om resultatet,uden tilmelding,,,
Hverdag og fællesskab,Hvad er hjemve?,100,savn og ubehag ved at være væk hjemmefra,en prøveform,et linjefag,en skolelov,,,
Hverdag og fællesskab,Hvad hjælper ofte ved almindelig hjemve?,200,at tale med en voksen og deltage gradvist i hverdagen,at isolere sig helt,at skjule problemet i måneder,at stoppe med at spise,,,
Hverdag og fællesskab,Hvorfor har mange efterskoler regler om ro og sengetid?,300,for at sikre søvn og hensyn i et tæt fællesskab,for at afskaffe fritid,for at gøre undervisningen kortere,for at forhindre venskaber,,,
Hverdag og fællesskab,Hvad er en vigtig grund til faste rengøringsopgaver?,400,fælles hygiejne og delt ansvar,at eleverne skal drive et rengøringsfirma,at lærere ikke må gøre rent,at erstatte alle fag,,,
Hverdag og fællesskab,Hvordan bør personlige grænser på et delt værelse håndteres?,500,med tydelige aftaler og respekt,ved at tage hinandens ting frit,ved at ignorere privatliv,ved at stemme om personlig post,,,
"Fag, prøver og elevdemokrati",Hvad er FP9?,100,folkeskolens prøver efter 9. klasse,forstanderens pensionsordning,et niugers valgfag,en type elevværelse,,,
"Fag, prøver og elevdemokrati",Hvad er formålet med en mundtlig prøve?,200,at eleven viser faglig forståelse gennem fremlæggelse og samtale,at måle løbehastighed,at vælge værelseskammerat,at bestemme skolens værdier,,,
"Fag, prøver og elevdemokrati",Hvad er intern evaluering?,300,løbende vurdering og feedback inden for skolen,en national folkeafstemning,økonomisk revision alene,et valg til Folketinget,,,
"Fag, prøver og elevdemokrati",Hvad er formativ feedback?,400,"feedback, der hjælper eleven videre i læreprocessen",en afsluttende karakter uden kommentar,en regel om sengetid,en besked om skolepenge,,,
"Fag, prøver og elevdemokrati",Hvad er summativ evaluering?,500,en afsluttende vurdering af et fagligt resultat,en uformel morgensamtale,en rengøringsopgave,et værelsesmøde,,,
