Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar
Rødder og hjemsteder,Hvilken genre opstod i New York med stærke rødder i cubansk og anden caribisk musik?,100,salsa,flamenco,country,gamelan,,,
Rødder og hjemsteder,I hvilket område opstod tangoen omkring slutningen af 1800-tallet?,200,Rio de la Plata-området,De skotske højlande,Nildeltaet,Alperne,,,
Rødder og hjemsteder,Hvilken brasiliansk genre er tæt knyttet til karnevalet i Rio de Janeiro?,300,samba,fado,bhangra,bluegrass,,,
Rødder og hjemsteder,Hvilken brasiliansk stil forener sambaens rytmik med køligere jazzharmonik?,400,bossa nova,highlife,rockabilly,klezmer,,,
Rødder og hjemsteder,Hvilken spansk region forbindes flamenco især med?,500,Andalusien,Galicien,Baskerlandet,Catalonien,,,
Rødder og hjemsteder,Hvilken portugisisk sangtradition forbindes med saudade og ledsagelse af portugisisk guitar?,600,fado,raï,gospel,zydeco,,,
Rødder og hjemsteder,Hvilken vestafrikansk populærmusikgenre udviklede sig især i Ghana og Nigeria i begyndelsen af 1900-tallet?,700,highlife,bluegrass,trance,chanson,,,
Rytmer og instrumenter,"Hvad hedder den store bastromme, som danner fundament i mange sambaensembler?",100,surdo,tabla,bodhrán,darbuka,,,
Rytmer og instrumenter,"Hvilket instrument ledsager ofte bossa nova med en synkoperet, dæmpet spillestil?",200,nylonstrenget guitar,banjo,sækkepibe,cembalo,,,
Rytmer og instrumenter,Hvad kaldes håndklap som rytmisk ledsagelse i flamenco?,300,palmas,bols,konnakol,jodel,,,
Rytmer og instrumenter,Hvilket strengeinstrument er særligt forbundet med traditionel fado?,400,portugisisk guitar,balalajka,oud,banjo,,,
Rytmer og instrumenter,Hvilket instrument af stemte stålpander forbindes med Trinidad og Tobago?,500,steelpan,kalimba,marimba,celeste,,,
Rytmer og instrumenter,Hvilke instrumenttyper dominerer et traditionelt gamelanensemble?,600,gonger og metallofoner,violiner og celloer,sækkepiber og trompeter,banjoer og mandoliner,,,
Kunstnere og gennembrud,Hvilken argentinsk bandoneonist udviklede tango nuevo?,100,Astor Piazzolla,Carlos Gardel,João Gilberto,Django Reinhardt,,,
Kunstnere og gennembrud,Hvilken brasiliansk guitarist og sanger var central for bossa novas gennembrud?,200,João Gilberto,Gilberto Gil,Caetano Veloso,Chico Buarque,,,
Kunstnere og gennembrud,Hvilken portugisisk sangerinde blev et internationalt ikon for fado?,300,Amália Rodrigues,Cesária Évora,Mariza,Lola Flores,,,
Kunstnere og gennembrud,Hvilken nigeriansk musiker var hovedskikkelsen bag Afrobeat?,400,Fela Kuti,Youssou N'Dour,Manu Dibango,Ali Farka Touré,,,
Kunstnere og gennembrud,Hvilken pakistansk sanger gjorde qawwali kendt for et stort internationalt publikum?,500,Nusrat Fateh Ali Khan,Ravi Shankar,A.R. Rahman,Zakir Hussain,,,
Kunstnere og gennembrud,Hvilken indisk sitarspiller blev en central formidler af hindustansk klassisk musik i Vesten?,600,Ravi Shankar,Ali Akbar Khan,Bismillah Khan,L. Subramaniam,,,
Stilarter og undergenrer,"Hvilken rockgenre fra midten af 1970'erne lagde vægt på enkelhed, fart og gør-det-selv-holdning?",100,punkrock,progressiv rock,soft rock,jazzrock,,,
Stilarter og undergenrer,Hvilken stil fulgte efter punken og blev mere eksperimenterende og mørk?,200,post-punk,rockabilly,glam metal,folk revival,,,
Stilarter og undergenrer,Hvilken pop- og rockretning omkring slutningen af 1970'erne brugte ofte synthesizere og et stiliseret moderne udtryk?,300,new wave,Delta blues,bluegrass,bebop,,,
Stilarter og undergenrer,Hvilken alternativ rockgenre fra Seattle blev global i begyndelsen af 1990'erne?,400,grunge,Britpop,emo,ska punk,,,
Stilarter og undergenrer,Hvilken drømmende guitarstil bruger tætte lag af effekter og vokal langt tilbage i lydbilledet?,500,shoegaze,rockabilly,funk metal,swing revival,,,
Stilarter og undergenrer,Hvilken elektronisk genre udviklede Brian Eno som betegnelse for stemningsskabende baggrundsmusik?,600,ambient,gabber,dubstep,electro swing,,,
