Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar
Renæssance og barok,Hvilken komponists værker betegnes normalt med katalogforkortelsen BWV?,100,Johann Sebastian Bach,Georg Friedrich Händel,Antonio Vivaldi,Georg Philipp Telemann,,,
Renæssance og barok,Hvem komponerede værket “Stabat Mater fra 1736”?,200,Giovanni Battista Pergolesi,Domenico Scarlatti,Tomaso Albinoni,Pietro Locatelli,,,
Renæssance og barok,"Hvem komponerede værket “Obokoncert i d-mol, opus 9 nr. 2”?",300,Tomaso Albinoni,Domenico Scarlatti,Giovanni Battista Pergolesi,Pietro Locatelli,,,
Renæssance og barok,Hvem komponerede værket “L’arte del violino”?,400,Pietro Locatelli,Domenico Scarlatti,Giovanni Battista Pergolesi,Tomaso Albinoni,,,
Renæssance og barok,Hvem komponerede værket “motetten Ave verum corpus fra Gradualia (1605)”?,500,William Byrd,Carlo Gesualdo,Giovanni Gabrieli,Heinrich Schütz,,,
Renæssance og barok,Hvem komponerede værket “In ecclesiis”?,600,Giovanni Gabrieli,William Byrd,Carlo Gesualdo,Heinrich Schütz,,,
Renæssance og barok,Hvem komponerede værket “Musikalische Exequien”?,700,Heinrich Schütz,William Byrd,Carlo Gesualdo,Giovanni Gabrieli,,,
Renæssance og barok,Hvem komponerede værket “Tenebrae-responsorierne fra 1611”?,800,Carlo Gesualdo,William Byrd,Giovanni Gabrieli,Heinrich Schütz,,,
Klassik og tidlig romantik,"Hvilken komponists værker identificeres ofte med Köchel-numre, forkortet K. eller KV?",100,Wolfgang Amadeus Mozart,Joseph Haydn,Ludwig van Beethoven,Franz Schubert,,,
Klassik og tidlig romantik,Hvilken komponists klaverstykke ‘Für Elise’ har katalognummeret WoO 59?,200,Ludwig van Beethoven,Joseph Haydn,Franz Schubert,Gioachino Rossini,,,
Klassik og tidlig romantik,Hvilken komponists værker ordnes i Hoboken-kataloget med betegnelsen Hob.?,300,Joseph Haydn,Wolfgang Amadeus Mozart,Ludwig van Beethoven,Carl Maria von Weber,,,
Klassik og tidlig romantik,"Hvem komponerede værket “Sonatine i C-dur, opus 36 nr. 1”?",400,Muzio Clementi,Carl Philipp Emanuel Bach,Johann Nepomuk Hummel,Louis Spohr,,,
Klassik og tidlig romantik,Hvem komponerede værket “Trompetkoncerten i E-dur”?,500,Johann Nepomuk Hummel,Muzio Clementi,Carl Philipp Emanuel Bach,Louis Spohr,,,
Klassik og tidlig romantik,Hvem komponerede værket “operaen Médée fra 1797”?,600,Luigi Cherubini,Gioachino Rossini,Vincenzo Bellini,Gaetano Donizetti,,,
Klassik og tidlig romantik,"Hvem komponerede værket “Magnificat, Wq 215”?",700,Carl Philipp Emanuel Bach,Muzio Clementi,Johann Nepomuk Hummel,Louis Spohr,,,
Klassik og tidlig romantik,Hvem komponerede værket “Klarinetkoncert nr. 1 i c-mol”?,800,Louis Spohr,Muzio Clementi,Carl Philipp Emanuel Bach,Johann Nepomuk Hummel,,,
Romantik og nationalromantik,Hvem komponerede værket “Scheherazade”?,100,Nikolaj Rimskij-Korsakov,Gustav Mahler,Anton Bruckner,Modest Musorgskij,,,
Romantik og nationalromantik,Hvem komponerede værket “Udstillingsbilleder”?,200,Modest Musorgskij,Gustav Mahler,Anton Bruckner,Nikolaj Rimskij-Korsakov,,,
Romantik og nationalromantik,"Hvilken pianist og komponist var gift med Robert Schumann og skrev en klaverkoncert i a-mol, opus 7?",300,Clara Schumann,Fanny Hensel,Louise Farrenc,Cécile Chaminade,,,
Romantik og nationalromantik,Hvem komponerede værket “Enigmavariationerne”?,400,Edward Elgar,Aleksandr Borodin,Sergej Rakhmaninov,Gabriel Fauré,,,
Romantik og nationalromantik,Hvem komponerede værket “Klaverkoncert nr. 2 i c-mol”?,500,Sergej Rakhmaninov,Aleksandr Borodin,Gabriel Fauré,Edward Elgar,,,
Romantik og nationalromantik,"Hvem komponerede værket “Requiem i d-mol, opus 48”?",600,Gabriel Fauré,Aleksandr Borodin,Sergej Rakhmaninov,Edward Elgar,,,
Romantik og nationalromantik,Hvem komponerede værket “Fyrst Igor”?,700,Aleksandr Borodin,Sergej Rakhmaninov,Gabriel Fauré,Edward Elgar,,,
1900-tallet og Norden,"Hvem komponerede værket “Symfoni nr. 4, “Det uudslukkelige””?",100,Carl Nielsen,Rued Langgaard,Per Nørgård,Einojuhani Rautavaara,,,
1900-tallet og Norden,Hvem komponerede værket “Fratres”?,200,Arvo Pärt,Steve Reich,Witold Lutosławski,Krzysztof Penderecki,,,
1900-tallet og Norden,Hvem komponerede værket “Sfærernes musik”?,300,Rued Langgaard,Carl Nielsen,Per Nørgård,Einojuhani Rautavaara,,,
1900-tallet og Norden,Hvem komponerede værket “Threnody for the Victims of Hiroshima”?,400,Krzysztof Penderecki,Steve Reich,Arvo Pärt,Witold Lutosławski,,,
1900-tallet og Norden,Hvem komponerede værket “Koncert for orkester fra 1954”?,500,Witold Lutosławski,Steve Reich,Arvo Pärt,Krzysztof Penderecki,,,
1900-tallet og Norden,Hvem komponerede værket “Cantus Arcticus”?,600,Einojuhani Rautavaara,Carl Nielsen,Rued Langgaard,Per Nørgård,,,
1900-tallet og Norden,"Hvem komponerede værket “Symfoni nr. 3, komponeret 1972–1975”?",700,Per Nørgård,Carl Nielsen,Rued Langgaard,Einojuhani Rautavaara,,,
