KortID;Billedfil;Billedsti;Forside;Dansk;English;Deutsch;Français;Español;Kategori;Hint;Bagside
FV01;01_apple.png;navneleg-demo/fruit-vegetables/photos/01_apple.png;Æble;Æble;Apple;Apfel;Pomme;Manzana;Frugt;Æble er tydelig på billedet — men bagsiden kan være engelsk, tysk, fransk eller spansk.;Apple
FV02;02_orange.png;navneleg-demo/fruit-vegetables/photos/02_orange.png;Appelsin;Appelsin;Orange;Orange;Orange;Naranja;Frugt;Appelsin er tydelig på billedet — men bagsiden kan være engelsk, tysk, fransk eller spansk.;Orange
FV03;03_banana.png;navneleg-demo/fruit-vegetables/photos/03_banana.png;Banan;Banan;Banana;Banane;Banane;Plátano;Frugt;Banan er tydelig på billedet — men bagsiden kan være engelsk, tysk, fransk eller spansk.;Banana
FV04;04_strawberry.png;navneleg-demo/fruit-vegetables/photos/04_strawberry.png;Jordbær;Jordbær;Strawberry;Erdbeere;Fraise;Fresa;Frugt;Jordbær er tydelig på billedet — men bagsiden kan være engelsk, tysk, fransk eller spansk.;Strawberry
FV05;05_pear.png;navneleg-demo/fruit-vegetables/photos/05_pear.png;Pære;Pære;Pear;Birne;Poire;Pera;Frugt;Pære er tydelig på billedet — men bagsiden kan være engelsk, tysk, fransk eller spansk.;Pear
FV06;06_grapes.png;navneleg-demo/fruit-vegetables/photos/06_grapes.png;Vindruer;Vindruer;Grapes;Trauben;Raisins;Uvas;Frugt;Vindruer er tydelig på billedet — men bagsiden kan være engelsk, tysk, fransk eller spansk.;Grapes
FV07;07_pineapple.png;navneleg-demo/fruit-vegetables/photos/07_pineapple.png;Ananas;Ananas;Pineapple;Ananas;Ananas;Piña;Frugt;Ananas er tydelig på billedet — men bagsiden kan være engelsk, tysk, fransk eller spansk.;Pineapple
FV08;08_watermelon.png;navneleg-demo/fruit-vegetables/photos/08_watermelon.png;Vandmelon;Vandmelon;Watermelon;Wassermelone;Pastèque;Sandía;Frugt;Vandmelon er tydelig på billedet — men bagsiden kan være engelsk, tysk, fransk eller spansk.;Watermelon
FV09;09_lemon.png;navneleg-demo/fruit-vegetables/photos/09_lemon.png;Citron;Citron;Lemon;Zitrone;Citron;Limón;Frugt;Citron er tydelig på billedet — men bagsiden kan være engelsk, tysk, fransk eller spansk.;Lemon
FV10;10_peach.png;navneleg-demo/fruit-vegetables/photos/10_peach.png;Fersken;Fersken;Peach;Pfirsich;Pêche;Melocotón;Frugt;Fersken er tydelig på billedet — men bagsiden kan være engelsk, tysk, fransk eller spansk.;Peach
FV11;11_carrot.png;navneleg-demo/fruit-vegetables/photos/11_carrot.png;Gulerod;Gulerod;Carrot;Karotte;Carotte;Zanahoria;Grøntsag;Gulerod er tydelig på billedet — men bagsiden kan være engelsk, tysk, fransk eller spansk.;Carrot
FV12;12_potato.png;navneleg-demo/fruit-vegetables/photos/12_potato.png;Kartoffel;Kartoffel;Potato;Kartoffel;Pomme de terre;Patata;Grøntsag;Kartoffel er tydelig på billedet — men bagsiden kan være engelsk, tysk, fransk eller spansk.;Potato
FV13;13_tomato.png;navneleg-demo/fruit-vegetables/photos/13_tomato.png;Tomat;Tomat;Tomato;Tomate;Tomate;Tomate;Grøntsag;Tomat er tydelig på billedet — men bagsiden kan være engelsk, tysk, fransk eller spansk.;Tomato
FV14;14_cucumber.png;navneleg-demo/fruit-vegetables/photos/14_cucumber.png;Agurk;Agurk;Cucumber;Gurke;Concombre;Pepino;Grøntsag;Agurk er tydelig på billedet — men bagsiden kan være engelsk, tysk, fransk eller spansk.;Cucumber
FV15;15_broccoli.png;navneleg-demo/fruit-vegetables/photos/15_broccoli.png;Broccoli;Broccoli;Broccoli;Brokkoli;Brocoli;Brócoli;Grøntsag;Broccoli er tydelig på billedet — men bagsiden kan være engelsk, tysk, fransk eller spansk.;Broccoli
FV16;16_onion.png;navneleg-demo/fruit-vegetables/photos/16_onion.png;Løg;Løg;Onion;Zwiebel;Oignon;Cebolla;Grøntsag;Løg er tydelig på billedet — men bagsiden kan være engelsk, tysk, fransk eller spansk.;Onion
FV17;17_pepper.png;navneleg-demo/fruit-vegetables/photos/17_pepper.png;Peberfrugt;Peberfrugt;Bell pepper;Paprika;Poivron;Pimiento;Grøntsag;Peberfrugt er tydelig på billedet — men bagsiden kan være engelsk, tysk, fransk eller spansk.;Bell pepper
FV18;18_corn.png;navneleg-demo/fruit-vegetables/photos/18_corn.png;Majs;Majs;Corn;Mais;Maïs;Maíz;Grøntsag;Majs er tydelig på billedet — men bagsiden kan være engelsk, tysk, fransk eller spansk.;Corn
FV19;19_mushroom.png;navneleg-demo/fruit-vegetables/photos/19_mushroom.png;Champignon;Champignon;Mushroom;Pilz;Champignon;Champiñón;Grøntsag;Champignon er tydelig på billedet — men bagsiden kan være engelsk, tysk, fransk eller spansk.;Mushroom
