Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar
Ord og udtryk,Hvad betyder det franske ord eller udtryk ‘fatigué’?,100,træt,glad,vred,overrasket,,,
Ord og udtryk,Hvad betyder det franske ord eller udtryk ‘en colère’?,200,vred,glad,træt,overrasket,,,
Ord og udtryk,Hvad betyder det franske ord eller udtryk ‘surpris’?,300,overrasket,glad,træt,vred,,,
Ord og udtryk,Hvad betyder det franske ord eller udtryk ‘gare’?,400,banegård,rådhus,bageri,bibliotek,,,
Ord og udtryk,Hvad betyder det franske ord eller udtryk ‘mairie’?,500,rådhus,banegård,bageri,bibliotek,,,
Ord og udtryk,Hvad betyder det franske ord eller udtryk ‘boulangerie’?,600,bageri,banegård,rådhus,bibliotek,,,
Ord og udtryk,Hvad betyder det franske ord eller udtryk ‘bibliothèque’?,700,bibliotek,banegård,rådhus,bageri,,,
Ord og udtryk,Hvad betyder det franske udtryk “avoir le cafard”?,800,at være nedtrykt,at være meget sulten,at have travlt,at være heldig,,,
Grammatik og udtale,Hvilket pronomen erstatter ofte en størrelse eller noget indledt med “de”?,100,en,y,lui,ce,,,
Grammatik og udtale,Hvad er korrekt futur simple af “parler” med “je”?,200,je parlerai,je parlerais,je parlera,je parlai,,,
Grammatik og udtale,Hvilken form udtrykker høfligt “jeg ville gerne”?,300,je voudrais,je voudrai,je veux que,je voulus,,,
Grammatik og udtale,Hvilken form passer efter “Il faut que tu ___ prêt”?,400,sois,es,seras,être,,,
Grammatik og udtale,Hvordan udtales slut-s normalt i bynavnet “Paris” på standardfransk?,500,det er stumt,som /s/,som /z/,som /ʃ/,,,
Grammatik og udtale,"Hvilken lyd markerer bogstavet ç normalt foran a, o eller u?",600,/s/,/k/,/ʃ/,/g/,,,
Grammatik og udtale,Hvad sker der normalt i udtalen mellem “les” og “amis”?,700,der laves liaison med en /z/-lyd,s’et bliver helt væk uden forbindelse,der indsættes en /k/-lyd,ordene udtales som ét langt a,,,
Grammatik og udtale,Hvilken accent står i ordet “école”?,800,accent aigu,accent grave,accent circonflexe,tréma,,,
Kunst og kultur,Hvilken beskrivelse passer til Tour de France?,100,et etapeløb på cykel,en musikfest den 21. juni,en international filmfestival,en fransk litteraturpris,,,
Kunst og kultur,Hvilken beskrivelse passer til Prix Goncourt?,200,en fransk litteraturpris,en musikfest den 21. juni,en international filmfestival,et etapeløb på cykel,,,
Kunst og kultur,På hvilket museum findes Mona Lisa?,300,Louvre i Paris,Musée d’Orsay,Centre Pompidou,Musée Rodin,,,
Kunst og kultur,I hvilken by ligger Comédie-Française?,400,Paris,Lyon,Marseille,Bordeaux,,,
Kunst og kultur,I hvilken by ligger Académie française?,500,Paris,Bruxelles,Genève,Montréal,,,
Kunst og kultur,Hvilken type kunst forbindes Centre Pompidou især med?,600,moderne og samtidskunst,middelalderlige våben,naturhistoriske samlinger,antikke romerske mønter,,,
Kunst og kultur,På hvilken dato markeres den internationale frankofonidag?,700,20. marts,14. juli,21. juni,1. november,,,
Den frankofone verden,I hvilket år fandt den haitiske uafhængighed sted?,100,1804,1970,1960,1958,,,
Den frankofone verden,I hvilket år fandt Senegals uafhængighed sted?,200,1960,1970,1804,1958,,,
Den frankofone verden,I hvilket år fandt indførelsen af Frankrigs nuværende Femte Republik sted?,300,1958,1970,1804,1960,,,
Den frankofone verden,I hvilken by har Organisation internationale de la Francophonie hovedsæde?,400,Paris,Bruxelles,Genève,Montréal,,,
Den frankofone verden,I hvilken by har UNESCO hovedsæde?,500,Paris,New York,Rom,Wien,,,
Den frankofone verden,I hvilken by har Den Internationale Olympiske Komité hovedsæde?,600,Lausanne,Genève,Zürich,Bern,,,
Den frankofone verden,I hvilken by ligger Europaparlamentets officielle sæde?,700,Strasbourg,Bruxelles,Luxembourg,Paris,,,
