Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar
Ord og udtryk,Hvad betyder det franske ord eller udtryk ‘fenêtre’?,100,vindue,hus,dør,tag,,,
Ord og udtryk,Hvad betyder det franske ord eller udtryk ‘porte’?,200,dør,hus,vindue,tag,,,
Ord og udtryk,Hvad betyder det franske ord eller udtryk ‘toit’?,300,tag,hus,vindue,dør,,,
Ord og udtryk,Hvad betyder det franske ord eller udtryk ‘pomme’?,400,æble,ost,brød,mælk,,,
Grammatik og udtale,Hvad er den korrekte flertalsform af “journal”?,100,journaux,journals,journales,journails,,,
Grammatik og udtale,Hvilken sammentrækning svarer til “de + le”?,200,du,des,au,aux,,,
Grammatik og udtale,Hvilken form af “être” passer til “je”?,300,suis,es,est,sommes,,,
Grammatik og udtale,Hvilken form af “avoir” passer til “nous”?,400,avons,avez,ont,sommes,,,
Kunst og kultur,Hvem skrev værket “L’Étranger”?,100,Albert Camus,Molière,Victor Hugo,Gustave Flaubert,,,
Kunst og kultur,Hvem skrev værket “À la recherche du temps perdu”?,200,Marcel Proust,Antoine de Saint-Exupéry,Marguerite Duras,Annie Ernaux,,,
Kunst og kultur,Hvem skrev værket “Le Petit Prince”?,300,Antoine de Saint-Exupéry,Marcel Proust,Marguerite Duras,Annie Ernaux,,,
Kunst og kultur,Hvem skrev værket “L’Amant”?,400,Marguerite Duras,Marcel Proust,Antoine de Saint-Exupéry,Annie Ernaux,,,
Den frankofone verden,Hvad er hovedstaden i Haiti?,100,Port-au-Prince,Paris,Bruxelles,Dakar,,,
Den frankofone verden,Hvilket land passer til beskrivelsen “fransk og engelsk er føderale officielle sprog”?,200,Canada,Schweiz,Cameroun,Haiti,,,
Den frankofone verden,Hvilket land passer til beskrivelsen “fransk er ét af fire nationale sprog”?,300,Schweiz,Canada,Cameroun,Haiti,,,
