Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar
Pionerer og milepæle,Hvem blev den første amerikanske kvinde i rummet?,100,Sally Ride,Judith Resnik,Eileen Collins,Mae Jemison,,,
Pionerer og milepæle,Hvem blev den første dansker i rummet i 2015?,200,Andreas Mogensen,Thomas Reiter,Christer Fuglesang,Luca Parmitano,,,
Pionerer og milepæle,Hvilken Apollo 11-astronaut blev i kredsløb om Månen under landingen?,300,Michael Collins,Neil Armstrong,Buzz Aldrin,Fred Haise,,,
Pionerer og milepæle,Hvilken mission afsluttede Apollo-programmets bemandede månelandinger i 1972?,400,Apollo 17,Apollo 15,Apollo 16,Apollo 18,,,
Pionerer og milepæle,Hvem blev den første sorte kvinde i rummet?,500,Mae Jemison,Sally Ride,Stephanie Wilson,Christina Koch,,,
Pionerer og milepæle,Hvem blev den første afroamerikaner i rummet?,600,Guion Bluford,Ronald McNair,Mae Jemison,Frederick Gregory,,,
Pionerer og milepæle,Hvem var den sidste astronaut til at forlade Månens overflade under Apollo 17 i 1972?,700,Gene Cernan,Harrison Schmitt,Alan Shepard,David Scott,,,
Pionerer og milepæle,I hvilket år blev NASA oprettet?,800,1958,1945,1961,1969,,,
Raketter og rumfartøjer,Hvad er et varmeskjolds vigtigste opgave ved tilbagevenden gennem atmosfæren?,100,at beskytte mod ekstrem opvarmning,at skabe radiosignaler,at producere ilt til motoren,at øge rumfartøjets masse,,,
Raketter og rumfartøjer,Hvilket system bruges ofte til at sænke en kapsels fart før landing i atmosfæren?,200,faldskærme,solsejl,radioskåle,reaktionshjul,,,
Raketter og rumfartøjer,Hvad står forkortelsen SLS for i NASAs store måneraket?,300,Space Launch System,Satellite Landing Service,Solar Laboratory Shuttle,Space Logistics Station,,,
Raketter og rumfartøjer,Hvad er formålet med et launch escape system på en bemandet kapsel?,400,at trække kapslen væk fra raketten i en nødsituation,at levere strøm efter landing,at styre satellitter i geostationær bane,at opsamle rumaffald,,,
Raketter og rumfartøjer,Hvad accelererer en ionmotor for at skabe fremdrift?,500,elektrisk ladede ioner,faste metalstænger,atmosfærisk luft alene,flydende vand uden energi,,,
Raketter og rumfartøjer,Hvad er en tyngdeslynge eller gravity assist?,600,brug af en planets bevægelse og tyngdefelt til at ændre en sondes bane og fart,en metode til at skabe kunstig tyngdekraft i en kapsel,en faldskærm til gasplaneter,en bremse på en opsendelsesrampe,,,
Raketter og rumfartøjer,Hvad er Jordens undvigelseshastighed nær overfladen omtrent?,700,"11,2 km/s","1,12 km/s","7,8 km/s",112 km/s,,,
Raketter og rumfartøjer,Hvilken ligning forbinder en rakets mulige hastighedsændring med udstødningshastighed og masseforhold?,800,Tsiolkovskijs raketligning,Drakes ligning,Einsteins feltligning,Hubbles lov,,,
Månen og Mars,Hvilken Mars-rover landede i Gale-krateret i 2012?,100,Curiosity,Opportunity,Perseverance,Sojourner,,,
Månen og Mars,Hvilken Mars-rover landede i Jezero-krateret i 2021?,200,Perseverance,Spirit,Curiosity,Pathfinder,,,
Månen og Mars,"Hvad hed helikopteren, der gennemførte den første motordrevne kontrollerede flyvning på en anden planet?",300,Ingenuity,Dragonfly,Pathfinder,Phoenix,,,
Månen og Mars,Hvilken Mars-mission målte marsrystelser med et seismometer?,400,InSight,MAVEN,Mariner 4,Mars Express,,,
Månen og Mars,Hvilken Mars-lander fandt vandis tæt under overfladen i de nordlige polarområder?,500,Phoenix,Viking 2,InSight,Beagle 2,,,
Månen og Mars,Hvilket krater udforskede roveren Spirit?,600,Gusev-krateret,Gale-krateret,Jezero-krateret,Endeavour-krateret,,,
Månen og Mars,"Hvilken NASA-orbiter bærer kameraet HiRISE, som tager meget detaljerede billeder af Mars?",700,Mars Reconnaissance Orbiter,Mars Odyssey,MAVEN,Mars Global Surveyor,,,
Satellitter og rumstationer,Hvor lang tid tager én omgang om Jorden for Den Internationale Rumstation omtrent?,100,90 minutter,24 timer,12 timer,30 minutter,,,
Satellitter og rumstationer,Hvor højt kredser Den Internationale Rumstation typisk over Jorden?,200,omkring 400 km,omkring 40 km,omkring 4.000 km,omkring 36.000 km,,,
Satellitter og rumstationer,Siden hvilket år har Den Internationale Rumstation været kontinuerligt bemandet?,300,2000,1995,1998,2005,,,
Satellitter og rumstationer,Hvad hed den første amerikanske rumstation?,400,Skylab,Mir,Salyut 1,Freedom,,,
Satellitter og rumstationer,"Hvad kaldes den tilstand, hvor astronauter og station falder frit sammen og derfor oplever næsten vægtløshed?",500,mikrotyngdekraft,nul masse,magnetisk levitation,atmosfærisk opdrift,,,
Satellitter og rumstationer,Hvad hedder ISS-modulet med syv store vinduer til observation af Jorden?,600,Cupola,Columbus,Zvezda,Harmony,,,
Satellitter og rumstationer,"Hvad hed det første modul, der blev opsendt til Den Internationale Rumstation i 1998?",700,Zarya,Unity,Destiny,Columbus,,,
