Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar
Første Verdenskrig,Hvad kaldtes de tyske ubåde under Første Verdenskrig?,100,U-både,Dreadnoughts,Zeppelinere,Monitorer,,,
Første Verdenskrig,Hvilket britisk passagerskib blev sænket af en tysk ubåd i 1915?,200,Lusitania,Titanic,Olympic,Mauretania,,,
Første Verdenskrig,I hvilket år gik USA ind i Første Verdenskrig?,300,1917,1914,1915,1919,,,
Første Verdenskrig,"Hvilken revolution førte til, at bolsjevikkerne tog magten i Rusland i november 1917 efter den gregorianske kalender?",400,Oktoberrevolutionen,Februarrevolutionen,1905-revolutionen,Dekabristopstanden,,,
Første Verdenskrig,Hvilken fredsaftale trak Rusland ud af krigen i marts 1918?,500,Brest-Litovsk-freden,Versaillestraktaten,Saint-Germain-traktaten,Lausannefreden,,,
Anden Verdenskrig i Europa,Hvad hed Tysklands invasion af Sovjetunionen i juni 1941?,100,Operation Barbarossa,Operation Overlord,Operation Sea Lion,Operation Market Garden,,,
Anden Verdenskrig i Europa,Hvilket slag fra 1942 til 1943 blev et afgørende tysk nederlag ved Volga?,200,Stalingrad,Kursk,Moskva,Kharkiv,,,
Anden Verdenskrig i Europa,Hvilket slag i 1943 regnes ofte som historiens største kampvognsslag?,300,Kursk,El Alamein,Monte Cassino,Arnhem,,,
Anden Verdenskrig i Europa,På hvilken dato fandt D-dag-landgangen i Normandiet sted?,400,6. juni 1944,8. maj 1945,7. december 1941,1. september 1939,,,
Anden Verdenskrig i Europa,Hvad var kodenavnet for den allierede invasion af Normandiet?,500,Operation Overlord,Operation Torch,Operation Husky,Operation Avalanche,,,
Global krig og Holocaust,På hvilket amerikansk krigsskib blev Japans kapitulation underskrevet 2. september 1945?,100,USS Missouri,USS Arizona,USS Enterprise,USS Yorktown,,,
Global krig og Holocaust,"Hvad hed det amerikansk-ledede projekt, der udviklede atombomben?",200,Manhattanprojektet,Apollo-projektet,Marshallplanen,Operation Paperclip,,,
Global krig og Holocaust,Hvilken præsidentordre muliggjorde internering af mange japansk-amerikanere?,300,Executive Order 9066,Executive Order 8802,Truman-doktrinen,Lend-Lease Act,,,
Global krig og Holocaust,Hvor mange jøder blev omtrent myrdet under Holocaust?,400,seks millioner,en million,tolv millioner,tre hundrede tusind,,,
Global krig og Holocaust,I hvilket besat land lå Auschwitz-Birkenau?,500,Polen,Tyskland,Østrig,Ungarn,,,
"Danmark, Norden og efterspil",Hvilken dansk modstandsgruppe tog navn efter en sagnhelt?,100,Holger Danske,Hvidstengruppen,BOPA,Churchill-klubben,,,
"Danmark, Norden og efterspil",Hvilken modstandsgruppe voksede ud af kommunistiske sabotørmiljøer og blev kendt som BOPA?,200,Borgerlige Partisaner,Bondepartiets Organisation,Britisk Operativ Partisanarmé,Bornholms Partisaner,,,
"Danmark, Norden og efterspil",Hvilken gruppe hjalp med at modtage britiske våbennedkastninger ved Hvidsten Kro?,300,Hvidstengruppen,Holger Danske,BOPA,Ringen,,,
"Danmark, Norden og efterspil",Hvad var “Flammen” og “Citronen” kendt som?,400,modstandsfolk og likvidatorer,tyske generaler,danske ministre,norske sabotører,,,
"Danmark, Norden og efterspil",Hvilken stor arbejdsnedlæggelse og uro ramte København i sommeren 1944?,500,Folkestrejken,Påskekrisen,Augustoprøret 1943,Majrevolten,,,
