Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar
Forfattere og værker,Hvem skrev romanen “Barndommens gade”?,100,Tove Ditlevsen,Dea Trier Mørch,Suzanne Brøgger,Helle Helle,,,
Forfattere og værker,Hvem skrev romanen “Lykke-Per”?,200,Henrik Pontoppidan,Herman Bang,Martin Andersen Nexø,Tom Kristensen,,,
Forfattere og værker,Hvilken forfatter udgav på engelsk under navnet Isak Dinesen?,300,Karen Blixen,Inger Christensen,Dorrit Willumsen,Sigrid Undset,,,
Perioder og strømninger,Hvilken litterær periode forbindes i Danmark især med Ludvig Holbergs komedier og oplysningstænkning?,100,oplysningstiden,romantikken,symbolismen,modernismen,,,
Perioder og strømninger,Hvilken europæisk strømning præger Thomas Kingos kunstfærdige salmer og 1600-tallets billedsprog?,200,barokken,realismen,naturalismen,ekspressionismen,,,
Perioder og strømninger,Hvilken periode i dansk litteratur dateres ofte fra Henrik Steffens' forelæsninger i 1802 til Georg Brandes i 1871?,300,romantikken,det moderne gennembrud,mellemkrigstiden,postmodernismen,,,
"Figurer, former og genrer",Hvilken eventyrfigur bytter sin stemme for menneskeben?,100,Den lille havfrue,Snedronningen,Tommelise,Prinsessen på ærten,,,
"Figurer, former og genrer",Hvad hedder den franske kok i Karen Blixens fortælling “Babettes gæstebud”?,200,Babette Hersant,Pellegrina Leoni,Miss Malin,Lucan Bellenden,,,
"Priser, sprog og litteraturliv",Hvilken dansk forfatter modtog Nobelprisen i litteratur i 1944?,100,Johannes V. Jensen,Martin Andersen Nexø,Karen Blixen,Tom Kristensen,,,
"Priser, sprog og litteraturliv","Hvad hedder den pris, som Det Danske Akademi uddeler som sin største årlige litterære hædersbevisning?",200,Det Danske Akademis Store Pris,Bogforums Debutantpris,Kritikerprisen,Montanas Litteraturpris,,,
