Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar
Fødsel og udvikling,Hvad kaldes selve fødslen hos kaniner ofte på engelsk?,100,kindling,whelping,foaling,calving,,,
Fødsel og udvikling,Hvilken proces udløser normalt ægløsning hos hunkaninen?,200,parringen,månefasen,vinterkulde,daglig fodring,,,
Fødsel og udvikling,"Hvad kaldes det, når en hunkanin bygger rede og viser drægtighedstegn uden at være drægtig?",300,falsk drægtighed,dvale,fældning,brunstpause,,,
Fødsel og udvikling,Hvor tidligt kan en dyrlæge ifølge Merck undertiden mærke fostre i en drægtig kanins bug?,400,omkring 12 dage efter parring,sammes dag som parringen,først efter fødslen,omkring 6 måneder efter parring,,,
Fødsel og udvikling,Hvad gør en hunkanin typisk kort før fødslen for at isolere reden?,500,plukker pels fra sin egen krop,samler småsten,graver reden fuld af vand,bider ungernes pels af,,,
Rede og moderpleje,Hvilken mælk er normalt et bedre udgangspunkt ved nødhåndopmadning efter veterinær vejledning end komælk?,100,kattemælkserstatning,flødeis,sojasauce,appelsinjuice,,,
Rede og moderpleje,Hvad bør man ikke gøre ved en mistænkt forældreløs vildkaninunge uden først at vurdere situationen?,200,tage den med hjem med det samme,holde afstand og observere,kontakte en vildtplejer,se efter en rede i nærheden,,,
Rede og moderpleje,"Hvorfor er det vigtigt at adskille en fertil han fra en hun, der netop har født?",300,hun kan blive drægtig igen næsten straks,han får automatisk rabies,han stopper hendes mælkeproduktion ved synet,hun mister evnen til at bygge rede,,,
Rede og moderpleje,"Hvad bør stadig bevares mellem et midlertidigt adskilt kaninpar, hvis det kan ske sikkert?",400,syns- og duftkontakt,fælles foderskål gennem tremmer,fri parring,manglende adgang til hø,,,
Rede og moderpleje,Hvad er hovedformålet med en redekasse?,500,"at give et afgrænset, tørt og isoleret fødested",at træne ungerne i at hoppe,at opbevare pellets,at forhindre moderen i at komme ind,,,
Foder og sundhed,Hvilken mikroskopisk parasit rammer især unge og nyligt fravænnede kaniner?,100,coccidier,bændelorm hos fisk,malariaparasitten,leverikter hos får,,,
Foder og sundhed,Hvilken alvorlig virussygdom hos kaniner forkortes ofte RHD?,200,rabbit haemorrhagic disease,rabbit hereditary deafness,rabbit hair deficiency,rabbit hydration disorder,,,
Foder og sundhed,Hvilken virussygdom kan give hævelser omkring øjne og kønsorganer hos kaniner?,300,myxomatose,parvovirus hos hund,kattesyge,mund- og klovsyge,,,
Foder og sundhed,"Hvordan forebygges alvorlige virussygdomme som myxomatose og RHD bedst hos kælekaniner, hvor vacciner anbefales?",400,med vaccination efter dyrlægens plan,med sukker i vandet,med dagligt bad,med vitaminpiller alene,,,
Foder og sundhed,Hvad kan for lange fortænder eller kindtænder føre til?,500,smerter og spiseproblemer,bedre hørelse,hurtigere løb,større kuld,,,
Adfærd og ansvarligt kaninhold,Hvorfor har kaniner brug for skjulesteder?,100,de er byttedyr og søger sikkerhed,de kan ikke tåle mørke,de skal gemme deres tænder,de sover kun under vand,,,
Adfærd og ansvarligt kaninhold,Hvad kan en helt flad kanin med kroppen strakt ud ofte vise?,200,afslapning,akut aggression i alle tilfælde,at den ikke kan trække vejret,at den bygger rede,,,
Adfærd og ansvarligt kaninhold,"Hvad kaldes en hurtig drejning om på siden, som ofte viser afslapning?",300,flop,charge,freeze,boxing,,,
Adfærd og ansvarligt kaninhold,Hvad kan stille tænderskæren hos en afslappet kanin være tegn på?,400,velbehagelig nydelse eller afslapning,alvorlig smerte i alle tilfælde,at tænderne falder ud,at den er sulten efter kød,,,
Adfærd og ansvarligt kaninhold,Hvad kan høj og vedvarende tænderskæren sammen med sammenkrøbet holdning tyde på?,500,smerte,glæde,normal søvn,parringsleg,,,
