Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar
Ord og udtryk,Hvad betyder det tyske ord eller udtryk ‘danke’?,100,tak,godmorgen,farvel,vær venlig eller værsgo,,,
Ord og udtryk,Hvad betyder det tyske ord eller udtryk ‘bitte’?,200,vær venlig eller værsgo,godmorgen,farvel,tak,,,
Ord og udtryk,Hvad betyder det tyske ord eller udtryk ‘Haus’?,300,hus,vindue,dør,tag,,,
Grammatik og udtale,Hvilken bestemt artikel passer til “Lampe”?,100,die,der,das,den,,,
Grammatik og udtale,Hvilken bestemt artikel passer til “Buch”?,200,das,der,die,den,,,
Grammatik og udtale,Hvad er den korrekte flertalsform af “Buch”?,300,Bücher,Buche,Buchs,Buchen,,,
Kunst og kultur,Hvem skrev værket “Die Räuber”?,100,Friedrich Schiller,Johann Wolfgang von Goethe,Franz Kafka,Thomas Mann,,,
Kunst og kultur,Hvem skrev værket “Die Verwandlung”?,200,Franz Kafka,Johann Wolfgang von Goethe,Friedrich Schiller,Thomas Mann,,,
Den tysktalende verden,Hvad er hovedstaden eller forbundsbyen i Østrig?,100,Wien,Berlin,Bern,Vaduz,,,
Den tysktalende verden,Hvad er hovedstaden eller forbundsbyen i Schweiz?,200,Bern,Berlin,Wien,Vaduz,,,
