Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar
Ord og udtryk,Hvad betyder det spanske ord eller udtryk ‘ayer’?,100,i går,mandag,vi ses i morgen,snart,,,
Ord og udtryk,Hvad betyder det spanske ord eller udtryk ‘pronto’?,200,snart,mandag,vi ses i morgen,i går,,,
Ord og udtryk,Hvad betyder det spanske ord eller udtryk ‘comprar’?,300,købe,sælge,lede efter,finde,,,
Ord og udtryk,Hvad betyder det spanske ord eller udtryk ‘vender’?,400,sælge,købe,lede efter,finde,,,
Ord og udtryk,Hvad betyder det spanske ord eller udtryk ‘buscar’?,500,lede efter,købe,sælge,finde,,,
Ord og udtryk,Hvad betyder det spanske ord eller udtryk ‘encontrar’?,600,finde,købe,sælge,lede efter,,,
Ord og udtryk,Hvad betyder det spanske ord eller udtryk ‘contento’?,700,glad,træt,vred,overrasket,,,
Grammatik og udtale,Hvilken sætning betyder “Jeg kan lide bogen”?,100,Me gusta el libro.,Yo gusto el libro.,Me gustan el libro.,El libro me gusto.,,,
Grammatik og udtale,Hvordan siger man korrekt “Jeg hedder Ana”?,200,Me llamo Ana.,Yo llamo Ana.,Me llama Ana.,Mi nombre llama Ana.,,,
Grammatik og udtale,Hvilket direkte objektspronomen kan erstatte “el libro”?,300,lo,le,la,se,,,
Grammatik og udtale,Hvilket indirekte objektspronomen bruges normalt om “til ham/hende”?,400,le,lo,la,el,,,
Grammatik og udtale,Hvilken præposition bruges typisk om formål i “Estudio ___ aprender”?,500,para,por,de,con,,,
Grammatik og udtale,Hvilken præposition bruges typisk om årsag i “Lo hice ___ ti”?,600,por,para,sin,hacia,,,
Kunst og kultur,Hvilken kunstner forbindes med værket Guernica?,100,Pablo Picasso,Salvador Dalí,Frida Kahlo,Diego Velázquez,,,
Kunst og kultur,Hvilken kunstner forbindes med værket La persistencia de la memoria?,200,Salvador Dalí,Pablo Picasso,Frida Kahlo,Diego Velázquez,,,
Kunst og kultur,Hvilken kunstner forbindes med værket Las dos Fridas?,300,Frida Kahlo,Pablo Picasso,Salvador Dalí,Diego Velázquez,,,
Kunst og kultur,Hvilken kunstner forbindes med værket Las Meninas?,400,Diego Velázquez,Pablo Picasso,Salvador Dalí,Frida Kahlo,,,
Kunst og kultur,Hvilket sted eller område forbindes traditionen Día de Muertos især med?,500,Mexico,Andalusien,Río de la Plata,Pamplona,,,
Kunst og kultur,Hvilket sted eller område forbindes traditionen flamenco især med?,600,Andalusien,Mexico,Río de la Plata,Pamplona,,,
Den spansktalende verden,I hvilket land eller område ligger Cartagenas befæstede gamle by?,100,Colombia,Peru,Chile,Mexico,,,
Den spansktalende verden,Hvilket land eller hvilke lande forbindes Patagonien med?,200,Argentina og Chile,Chile,Ecuador,Bolivia og Peru,,,
Den spansktalende verden,Hvilket land eller hvilke lande forbindes Atacamaørkenen med?,300,Chile,Argentina og Chile,Ecuador,Bolivia og Peru,,,
Den spansktalende verden,Hvilket land eller hvilke lande forbindes Galápagosøerne med?,400,Ecuador,Argentina og Chile,Chile,Bolivia og Peru,,,
Den spansktalende verden,Hvilket land eller hvilke lande forbindes Altiplano med?,500,Bolivia og Peru,Argentina og Chile,Chile,Ecuador,,,
Den spansktalende verden,I hvilket år fandt vedtagelsen af Spaniens nuværende forfatning sted?,600,1978,1810,1816,1914,,,
