Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar
Første Verdenskrig,På hvilken dato trådte våbenstilstanden på Vestfronten i kraft?,100,11. november 1918,8. maj 1918,28. juni 1919,1. september 1918,,,
Første Verdenskrig,Hvilken traktat fastlagde fredsbetingelserne med Tyskland i 1919?,200,Versaillestraktaten,Trianontraktaten,Sèvres-traktaten,Locarnotraktaten,,,
Første Verdenskrig,Hvilken international organisation blev oprettet efter krigen for at fremme kollektiv sikkerhed?,300,Folkeforbundet,De Forenede Nationer,NATO,Warszawapagten,,,
Første Verdenskrig,Hvilken amerikansk præsident fremlagde De Fjorten Punkter?,400,Woodrow Wilson,Theodore Roosevelt,Warren G. Harding,Calvin Coolidge,,,
Første Verdenskrig,Ved hvilket slag i 1915 blev klorgas anvendt i stor skala på Vestfronten?,500,Det Andet Slag ved Ypres,Slaget ved Somme,Slaget ved Marne,Slaget ved Cambrai,,,
Første Verdenskrig,Ved hvilket slag blev kampvogne første gang anvendt i krig i september 1916?,600,Somme,Verdun,Tannenberg,Jyllandsslaget,,,
Første Verdenskrig,Hvad står forkortelsen ANZAC for?,700,Australian and New Zealand Army Corps,Allied Northern Zone Air Command,Anglo-Norman Zealand Artillery Corps,Atlantic Naval and Zeppelin Air Command,,,
Anden Verdenskrig i Europa,Hvilken hollandsk by var hovedmål for den sidste bro i Operation Market Garden?,100,Arnhem,Rotterdam,Eindhoven,Utrecht,,,
Anden Verdenskrig i Europa,Hvilken polsk hovedstad gjorde oprør mod den tyske besættelse i august 1944?,200,Warszawa,Kraków,Gdańsk,Lublin,,,
Anden Verdenskrig i Europa,I hvilket år indgik Italien våbenstilstand med de allierede?,300,1943,1940,1942,1945,,,
Anden Verdenskrig i Europa,Hvem var Italiens fascistiske diktator under størstedelen af krigen?,400,Benito Mussolini,Francisco Franco,Ion Antonescu,Miklós Horthy,,,
Anden Verdenskrig i Europa,"Hvad kaldtes det franske regime, der samarbejdede med Tyskland fra byen Vichy?",500,Vichyregimet,Den Fjerde Republik,Frie Frankrig,Pariserkommunen,,,
Anden Verdenskrig i Europa,Hvilken britisk lokalitet var centrum for arbejdet med at bryde tyske koder?,600,Bletchley Park,Downing Street,Scapa Flow,Dover Castle,,,
Global krig og Holocaust,Hvilken konference i januar 1942 koordinerede den nazistiske plan for deportation og mord på Europas jøder?,100,Wannseekonferencen,Jaltakonferencen,Evian-konferencen,Potsdamkonferencen,,,
Global krig og Holocaust,Hvad var Einsatzgruppen?,200,mobile nazistiske drabsenheder,tyske ubådsflåder,allierede kodebrydere,italienske partisaner,,,
Global krig og Holocaust,Hvilket oprør begyndte i den jødiske ghetto i Warszawa i april 1943?,300,Warszawaghettoens opstand,Warszawaopstanden,Pragopstanden,Slovakiske opstand,,,
Global krig og Holocaust,Hvilken institution tildeler titlen “Retfærdig blandt nationerne”?,400,Yad Vashem,Røde Kors,Folkeforbundet,UNESCO,,,
Global krig og Holocaust,Hvad kaldes pogromen mod jøder i Tyskland og Østrig natten 9.-10. november 1938?,500,Krystalnatten,De lange knives nat,Rigsbrandnatten,Sort torsdag,,,
Global krig og Holocaust,Hvilke love fra 1935 fratog tyske jøder centrale borgerrettigheder?,600,Nürnberglovene,Weimarlovene,Locarnolovene,Potsdamdekreterne,,,
"Danmark, Norden og efterspil",På hvilken dato lød BBC's befrielsesbudskab til Danmark om aftenen?,100,4. maj 1945,5. maj 1944,8. maj 1945,9. april 1945,,,
"Danmark, Norden og efterspil",Hvilken dansk ø blev bombet af sovjetiske fly i maj 1945?,200,Bornholm,Lolland,Samsø,Læsø,,,
"Danmark, Norden og efterspil",Hvornår forlod de sidste sovjetiske styrker Bornholm?,300,1946,1945,1948,1950,,,
"Danmark, Norden og efterspil",Hvilket nordisk land blev ligesom Danmark invaderet den 9. april 1940?,400,Norge,Sverige,Finland,Island,,,
"Danmark, Norden og efterspil",Hvilken norsk politiker blev symbol på kollaboration med Nazi-Tyskland?,500,Vidkun Quisling,Haakon 7.,Trygve Lie,Einar Gerhardsen,,,
"Danmark, Norden og efterspil",Hvilken industrifacilitet i Telemark blev mål for norsk sabotage for at hindre tysk tungtvandsproduktion?,600,Vemork,Narvikværftet,Kongsbergminen,Bergenarsenalet,,,
