Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar
Symboler og navne,Hvilket grundstof har symbolet C?,100,Kulstof,Kvælstof,Aluminium,Kalium,,,
Symboler og navne,Hvad er det kemiske symbol for kvælstof?,200,N,F,S,Fe,,,
Symboler og navne,Hvilket grundstof har symbolet O?,300,Ilt,Fluor,Fosfor,Titan,,,
Symboler og navne,Hvad er det kemiske symbol for fluor?,400,F,Na,Ar,Ni,,,
Atomnumre og system,Hvad er atomnummeret for neon?,100,10,11,9,12,,,
Atomnumre og system,Hvad er atomnummeret for natrium?,200,11,12,10,13,,,
Atomnumre og system,Hvad er atomnummeret for magnesium?,300,12,13,11,14,,,
Atomnumre og system,Hvad er atomnummeret for aluminium?,400,13,14,12,15,,,
Grupper og egenskaber,"Hvad kaldes grundstofferne i gruppe 1, bortset fra hydrogen?",100,Alkalimetaller,Jordalkalimetaller,Halogener,Overgangsmetaller,,,
Grupper og egenskaber,Hvilket af disse grundstoffer er en ædelgas?,200,Neon,Natrium,Klor,Calcium,,,
Grupper og egenskaber,Hvilket af disse grundstoffer er et halogen?,300,Brom,Argon,Magnesium,Aluminium,,,
Grupper og egenskaber,Hvilket af disse grundstoffer er et alkalimetal?,400,Kalium,Calcium,Kobber,Krypton,,,
Stoffer og anvendelser,Hvad er den kemiske formel for iltmolekylet i atmosfæren?,100,O₂,O,O₃,CO₂,,,
Stoffer og anvendelser,Hvad er den kemiske formel for ozon?,200,O₃,O₂,CO₃,N₂O,,,
Stoffer og anvendelser,Hvilket grundstof bruges i glødetråden i traditionelle glødepærer?,300,Wolfram,Kobber,Tin,Bly,,,
