Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar
Retter og hjemsteder,Hvilken Louisiana-ret tilberedes som en krydret risret med kød eller skaldyr?,100,jambalaya,gumbo,po'boy,bananas Foster,,,
Retter og hjemsteder,Hvilken ovnret med aubergine og ofte hakket kød forbindes især med Grækenland og det østlige Middelhav?,200,moussaka,spanakopita,dolma,pastitsio,,,
Retter og hjemsteder,Hvilken ungarsk ret begyndte som en hyrdegryde med paprika?,300,gullasch,borsjtj,stroganoff,bigosh,,,
Retter og hjemsteder,Hvilke fyldte dejlommer forbindes især med polsk køkken?,400,pierogi,pelmeni,gnocchi,ravioli,,,
Retter og hjemsteder,Hvilken rødbedesuppe er stærkt forbundet med ukrainsk madkultur?,500,borsjtj,soljanka,okroshka,shchi,,,
Retter og hjemsteder,"Hvilket syrnet, svampet fladbrød af teff forbindes med Etiopien og Eritrea?",600,injera,naan,lavash,pita,,,
Retter og hjemsteder,"Hvilken risret med tomat, løg og krydderier er udbredt i Vestafrika?",700,jollof-ris,pilaf,biryani,risotto,,,
Ingredienser og teknikker,Hvordan fremstilles tofu grundlæggende?,100,sojamælk koaguleres og presses,sojabønner ristes og males,soyoghurt frysetørres,sojaolie piskes med vand,,,
Ingredienser og teknikker,Hvad er tempeh?,200,fermenterede sojabønner samlet i en fast kage,kogte risnudler,en sød bønnepasta,en klar fiskebouillon,,,
Ingredienser og teknikker,Hvad var garum i antikkens middelhavskøkken?,300,en fermenteret fiskesauce,en type fladbrød,en honningvin,en olivenkage,,,
Ingredienser og teknikker,Hvilket grundsmagsstof forbindes især med umami?,400,glutamat,koffein,citronsyre,mentol,,,
Ingredienser og teknikker,Hvad betyder “al dente” om pasta?,500,fast med let bid,helt blød og udkogt,kold i midten,stegt sprød udenpå,,,
Ingredienser og teknikker,"Hvad er et vandbad, bain-marie, i madlavning?",600,indirekte opvarmning gennem varmt vand,stegning direkte på kul,koldrøgning i lukket skab,marinering i eddike,,,
"Brød, sødt og drikke",Hvilken japansk sød sag fremstilles af klæbrig ris eller rismel?,100,mochi,wagashi,dorayaki,castella,,,
"Brød, sødt og drikke","Hvilken dessert består typisk af tynde dejlag, nødder og sirup eller honning?",200,baklava,kunafa,basbousa,halva,,,
"Brød, sødt og drikke",Hvad er dulce de leche?,300,mælk og sukker kogt til en karamellignende creme,fermenteret risdrik,friteret majsdej,en salt ostesauce,,,
"Brød, sødt og drikke","Hvilken brasiliansk konfekt laves af kondenseret mælk, kakao og smør?",400,brigadeiro,quindim,paçoca,cocada,,,
"Brød, sødt og drikke",Hvilken indisk dessert består af friterede mælkebaserede kugler i sukkersirup?,500,gulab jamun,jalebi,barfi,kulfi,,,
"Brød, sødt og drikke","Hvilken tyrkisk dessert består af meget tynde dejtråde, ost eller nødder og sirup?",600,künefe,lokum,baklava,şekerpare,,,
Måltider og madkultur,Hvilken koreansk tradition handler om fælles fremstilling og deling af kimchi?,100,kimjang,hanami,potlatch,fika,,,
Måltider og madkultur,Hvilken drikketradition fra den arabiske halvø forbindes på UNESCOs liste med gæstfrihed?,200,arabisk kaffe,matcha-ceremoni,mate,chai latte,,,
Måltider og madkultur,Hvilket lands ølkultur er optaget på UNESCOs kulturarvsliste?,300,Belgien,Norge,Portugal,Grækenland,,,
Måltider og madkultur,Hvilken bystats gadekøkkenkultur med organiserede madcentre er optaget på UNESCOs liste?,400,Singapore,Monaco,Vatikanstaten,San Marino,,,
Måltider og madkultur,Hvilken peruansk ret og dens kulturelle praksis blev optaget på UNESCOs kulturarvsliste i 2023?,500,ceviche,lomo saltado,ají de gallina,pachamanca,,,
Måltider og madkultur,Hvilken kinesisk tradition blev i 2022 optaget på UNESCOs liste som “traditionelle teknikker og sociale praksisser ved teforarbejdning”?,600,kinesisk tekultur,produktion af risvin,månekagebagning,dim sum-konkurrencer,,,
