Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar
Fysik og energi,Ved hvilken temperatur fryser rent vand ved normalt atmosfærisk tryk?,100,0 °C,−10 °C,32 °C,100 °C,,,
Fysik og energi,Ved hvilken temperatur koger rent vand ved normalt atmosfærisk tryk?,200,100 °C,0 °C,50 °C,212 °C,,,
Fysik og energi,Hvad er SI-enheden for frekvens?,300,hertz,decibel,tesla,lumen,,,
Fysik og energi,"Hvilken kraft får et skib til at flyde, når den opadrettede kraft balancerer tyngden?",400,opdrift,friktion,centripetalkraft,magnetisme,,,
Fysik og energi,Hvad svarer det absolutte nulpunkt til i grader Celsius?,500,"−273,15 °C",−100 °C,0 °C,"273,15 °C",,,
Fysik og energi,Hvad er ens gennem alle komponenter i en simpel seriekreds?,600,strømstyrken,spændingsfaldet over hver komponent,modstanden i hver komponent,effekten i hver komponent,,,
Fysik og energi,Hvad er ens over alle grene i en parallelkreds?,700,spændingen,strømstyrken i hver gren,modstanden i hver gren,ladningen på hver elektron,,,
Fysik og energi,"Hvordan hænger bølgefart, frekvens og bølgelængde sammen?",800,Bølgefart er frekvens gange bølgelængde,Bølgefart er frekvens divideret med bølgelængde,Frekvens er bølgefart gange bølgelængde,Bølgelængde er frekvens plus bølgefart,,,
Kemi og stoffer,Hvad er et grundstof?,100,et stof med kun én type atomer,en blanding af mindst to væsker,et stof med både celler og mineraler,enhver kemisk opløsning,,,
Kemi og stoffer,Hvad er en kemisk forbindelse?,200,et stof med mindst to grundstoffer kemisk bundet,en fysisk blanding uden bindinger,et enkelt frit atom,en opløsning med kun vand,,,
Kemi og stoffer,Hvilken gas er nødvendig for almindelig aerob forbrænding?,300,ilt,kvælstof,helium,neon,,,
Kemi og stoffer,Hvilken gas udgør størstedelen af Jordens tørre atmosfære?,400,kvælstof,ilt,kuldioxid,argon,,,
Kemi og stoffer,"Hvad kaldes en reaktion, hvor et stof reagerer med ilt og frigiver energi?",500,forbrænding,fotosyntese,neutralisation,krystallisering,,,
Kemi og stoffer,Hvad kaldes en blanding af to eller flere metaller eller et metal og et andet grundstof?,600,en legering,en syre,en isotop,en emulsion,,,
Kemi og stoffer,Hvad siger loven om massens bevarelse i en lukket kemisk reaktion?,700,Den samlede masse er uændret,Massen fordobles altid,Massen bliver til energi alene,Produkterne vejer altid mindre,,,
Kemi og stoffer,Hvad gør en katalysator i en kemisk reaktion?,800,Den øger reaktionshastigheden uden selv at blive forbrugt,Den ændrer grundstofferne til andre grundstoffer,Den stopper enhver reaktion,Den forøger altid produktmassen,,,
Jorden og vejret,Hvad kaldes langvarige gennemsnit af vejret i et område?,100,klima,nedbør,vejrudsigt,lufttryk,,,
Jorden og vejret,Hvad er den vigtigste energikilde for Jordens vejr og klima?,200,Solen,Månen,Jordens kerne,stjernebillederne,,,
Jorden og vejret,Hvilket instrument måler luftfugtighed?,300,et hygrometer,et kompas,et kalorimeter,et voltmeter,,,
Jorden og vejret,Hvad er en varmfront?,400,"en grænse, hvor varm luft rykker ind over koldere luft","en grænse, hvor kold luft synker under varm luft",en permanent havstrøm,en zone uden lufttryk,,,
Jorden og vejret,Hvad er en koldfront?,500,"en grænse, hvor kold luft rykker ind under varmere luft","en grænse, hvor varm luft glider over kold luft",en tropisk havstrøm,et område uden skyer,,,
Jorden og vejret,"Hvad kaldes den proces, hvor en havplade synker ned under en anden plade?",600,subduktion,erosion,kondensation,sedimentation,,,
Jorden og vejret,Hvilken effekt afbøjer store luft- og havstrømme på en roterende Jord?,700,corioliseffekten,kapillareffekten,drivhuseffekten,fotoelektrisk effekt,,,
Måling og metode,Hvad bør normalt stå på en grafs lodrette akse i et kontrolleret forsøg?,100,den afhængige variabel,den uafhængige variabel,forsøgsdatoen alene,kontrolgruppens navn,,,
Måling og metode,"Hvad er et gennemsnit af målingerne 4, 6 og 8?",200,6,5,7,18,,,
Måling og metode,"Hvad er medianen i datasættet 2, 3, 7, 9 og 12?",300,7,3,"6,6",9,,,
Måling og metode,"Hvad er typetallet i datasættet 1, 2, 2, 3 og 4?",400,2,1,3,4,,,
Måling og metode,Hvad viser en fejllinje på en graf typisk?,500,usikkerhed eller variation i data,den kemiske formel,forsøgets titel,en ny uafhængig variabel,,,
Måling og metode,"Hvad betyder det, at et resultat er reproducerbart?",600,at andre kan opnå tilsvarende resultat med samme metode,at resultatet aldrig varierer,at kun ophavspersonen kan gentage forsøget,at hypotesen ikke kan testes,,,
Måling og metode,Hvad er fagfællebedømmelse?,700,at andre fagfolk vurderer en undersøgelse før publicering,at forsøgsdeltagere stemmer om resultatet,at data slettes efter forsøget,at en måling gentages præcis én gang,,,
